0100000014	Medheteththa Maxaafa
171905008d	Bazzo biitta seela mala. Allaga otoreteththa waaso co7u ooththaasa. Awa seelay shaaraa kuwan irxxiza mala menxe iitata mazamure sirphi gaana.
171906009c	GODAY Ubbaafe Wolqqama Xoossay hayssa zumaa bolla dere ubbaas gidiza gita gibiraa, lo7i kaxxida woyne ushshu, lo7o ashonne doorettida woyne ushshu giigsana.
1719070070	Hayssa ha zumaan dere ubbaa bollan wodhdhida magalasha, kawoteththata ubbaa goozi oykkida goossaa izi dhayssana.
171908009a	Hayqo izi mernaas mittana; Ubbaa Haariza GODAY asa ubbaa ayfeppe afunththu quccana; ba deraa kawushshateth biitta ubbaafe diggana. Hayssa GODAY haasaydes.
17190900bc	He gallas isttas, «Be7ite nu Xoossay hayssa; nuni izan ammanettidos; izikka nuna ashshides; Hayssi GODAA; nuni izan ammanettidos; izi ashshidayssan ufayettoos; ufayssan hombocoos» gaana.
17190a0069	GODAA kushey ha zumaa bolla shemppana. Gido attiin uttulay urqqan yedhettiza mala Mo7aabeykka yedhettana.
17190b0096	Haaththa wadhdhizay ba kushe micciza mala iza giddon dizayti bantta kushe miccana; Xoossi istta gene ooso balettontta istta otoreteththaa kawushshana.
17190c0084	Istti dhoqqu histti gimbida gimbeza izi duge ziqqi histtana; duge woththana; kawushshidi duge sa7an woththidi gudulla bolla yeggana.
171a01007d	He gallas ha yeththay Yuhuda biittan yexettana. Nuus mino katamay dees; Xoossi iza gimbetanne miixata atoteththas ooththides.
171a020041	Ba ammano naagida, xillo kawoteththati gelana mala pengeta doyte.
171a030059	Nenan ammanettida gishshas nenan zemppida shemppoyo neni kumeththa saroteththan naagaasa.
171a040035	Mernaas GODAAN ammanettite; GODAY nuus mernaa Zaalla.
171a05006d	Dhoqqasohon dizayta ziqqi ooththana; dhoqqu gida katama kawushshana; duge biittan olana; gudullara walakkana.
171a060044	Tohon yedhettana; un7ettidayta tohoynne manqota tohoy iza yedhdhana.
171a070040	Xillota ogey moole. Nenoo Suurezoo, neni xillota oge moolisaasa.
171a080071	Abeet GODAWU! Ne woga ogera hemettishe nuni nena hidota ooththidos; ne sunththinne ne gitateththi nu wozinas amo.
171a09008c	Ta shemppoya omarsi nena laamotawus; ta ayanay maalado nena koyawus; ne pirday biitta bolla yida wode sa7an de7iza asay xilloteth tamaarees.
171a0a0081	Iita asatas kiya ooththikokka, istti xilloteth tamaarettenna. Suure biittan iita ooththeettes; GODAA gitateththaaka akeekettenna.
171a0b009d	Abeet GODAWU! Ne qesey dhoqqu dhoqqu gides. Istti gidikko be7ettenna; Ne asaas ne mishettizayssa be7ettonne yeellatetto; Ne morkketas giigida tamay istta mo.
171a0c0052	Abeet GODAWU! Neni nuus saroteth yoch ooththadasa; nu ooso ubbaa neni ooththadasa.
171a0d006f	Abeet GODAWU Nu Xoossawu! neeppe hara allaga xoossati nuna haarida; nuni gidikko ne sunththaa xalla bonchchoos.
171a0e00a8	Istti hayqqida; simmidi shemppora paxa de7ettenna; istta shemppoy simmi yeenna; neni istta qaxxayadasanne dhayssadasa; istta hassa7issiza miish ubbaa pitta dhayssadasa.
171a0f0076	Abeet GODAWU! Neni kawoteththaa darsadasa; Neni deraa darsadasa. Neni bonchchettadasa; biittaa zawa ubbaaka aassadasa.
171a100061	Abeet GODAWU! Istti metotida wode neekko yida; Neni istta seerida wode, saasuki nena woosseettes.
171a11006b	Abeet GODAWU! Shaara maccassi miixan metotiza malanne waassiza mala nunikka ne sinththan metotidi waassoos.
171a12007e	Nuni shaaridos; miixankka un7ettidos; gido attiin carko yelidos. Nuni sa7as atoteth ehibookko; sa7an diza deraakka yelibookko.
171a1300c4	Gido attiin hayqqida ne asay paxana; istta ahaykka dendana. Intteno biitta garsan dizaytoo! Dendite ufayssan yexxite; ne xaazay biitta yakkissiza maalado xaaza mala sa7ay mittidayta zaara cuttana.
171a140072	Ta derezoo! Ba ne keeth gela; ne penge ne bolla gorda; iza hanqoy aadhdhana gakkanaas guuththa wodes qotetaashsha.
171a1500b6	Biittaa bollan diza asaa istta nagaraa gishshas qaxxayanaas, GODAY ba de7izasoppe kezidi yees. Biittayka ba bollan gukkida suuththaa qonccisana; hayqqidaytakka hayssafe guye qottuku.
171b0100b7	He gallas GODAY lewataane geetettiza xongettiza shooshshaanne xaaxettiza shooshshaa ba mino, gitanne wolqqama giththa mashshan qaxxayana; abban diza wogga do7aa qanxxereththi yeggana.
171b020032	He gallas, «Woyne mith tokkiza lo7osozas yexxite!
171b03007b	Tani GODAY iza naagays; tani ubbaa gallas haath ushshays; omarsinne gallas iza naagays; hessa gishshas ooninne iza qohenna.
171b040064	Tani hanqettike; tanara olettanaas agunththinne kindichchoy kezidaakko ta istta issi bolla xuuggana!
171b050068	Woykko taakko yiidi tana banttas qotettizaso kessetto; tanara giigetto; ee tanara giigetto» geetettana.
171b06006a	Yaana gallassatan Yaaqoobey xapho yeddana; Isra7eeley aacananne ciiyana; histtiin istta ayfey sa7a kumana.
171b07005d	Izo shocidayta shocida mala GODAY izo shocidee? Izo wodhidayta izi wodhida mala izo wodhidee?
171b080073	Olaninne di7on ne izo qaxxayadasa; arshey mokkiza bagga carkoy carkiza mala wolqqama gote carkon ne izo gooddadasa.
171b09010c	Yaaqoobey yarsho yarshizaso shuchchata booqintta shuchcha mala gaacci liiqisishin Asheero geetettiza eeqa xoossay mislenne exaane cuwasiza sohota istti dizasohotappe shoddi olishin he gallas mooroy atto geetettana; hessi izi ba nagara diggoyssas kumeththa ayfe gidana.
171b0a0085	Gimbettida katamaya kayzadus; bazzo biitta mala olettidaso gidadus; marati heen heemettidi heen ichchana; izi haggatakka poqqi maana.
171b0b009b	Izi xeeray melidi meqqana; maccassatikka mixi eeththana; akeekay baynda dere gidida gishshas iza medhdhiday izas qadhettenna; ooththidayssika iza maarenna.
171b0c0096	He gallas Efiraaxise shaafappe haaththi baynda Gibxe Shaafa gakkanaas GODAY ba kaththaa bukkana; intteno Isra7eele asatoo, intte issoy issoy shiiqana.
171b0d008e	He gallas gita zayey punettana; Asooren di7ettidaytinne Gibxen un7ettidayti guye Yerusalaame simmi yiidi geeshsha zumaa bolla GODAAS goynnana.
171c0100e1	Efreemen diza maththottizaytas, otoreteththas, kallachcha gididaaris, cilila shoobba hu7en kippi ga uttida, izas bonchcho seelo gidida shulla ciishshays, woyne ushshay istta zereththas otoreteththas gidida katamays aayye ana!
171c0200bb	Be7ite, Godaas wolqqamanne mino gidida issoy dees; hessika shachcha uusho mala, dhayssiza gote carko mala, wolqqama dambala malanne wolqqama ira mala wolqqan izi izo duge biittan yeggana.
171c03003e	Maththottiza Efreeme asata otoro kallachchay tohon yedhettana.
171c0400b9	Cilila shoobba hu7en kippi ga uttida izas bonchcho seelo gidida shulla ciishshaya, kaththa shiishoppe sinththan gakkiin asi be7ida mala xuphi ekkidi heerakka mittiza balase mala gidana.
171c050069	He gallas Ubbaafe Wolqqama GODAY ba asaappe casha attidaytas bonchcho kallachchanne puula akilile gidana.
171c060058	Izi pirdizaytas suure pirda pirdiza ayana olaa katama pengefe zaarizaytas wolqqa gidana.
171c070106	Hayti woyne ushshu uyidi yiicoteettes; maththosiza ushshan gandigareettes. Qeesetinne nabeti maththosiza ushshan gandigarda; woyne ushsha gaason yo7oy isttafe balettides; maththosiza ushshan gandigarda; ajjuutaa likkera be7ettenna; pirda pirdishe dhuphetteettes.
171c080041	Istta maadda ubbay coosh xalla; cooshshan moorettonttasoy deenna.
171c09006d	Istti, «Izi oona tamaarsizee? Kiitaakka oos qonccisizee? Maath aggida naytasseyee dhanththa duuso naytassee?
171c0a0081	Azazo bolla azazo, azazo bolla azazo woga bolla woga, wogaa bolla woga, haankka guuththara, heenkka guuththara ooththees» gaana.
171c0b0055	Histtiko sinththafe Xoossay allagata qaalaninne imaththata doonan ha asaas haasayana.
171c0c0075	Izi isttas, «Hanna shemposo; daaburday shemppo; hanna shemposo» giday oonassee? Istti gidikko siyana koyibeettenna.
171c0d00ed	Hessa gishshas GODAA qaalay istti biidi guye kundana mala, madunxana malanne woximaden oykettana mala, di7ettana mala azazo bolla azazo, azazo bolla azazo, woga bolla woga, woga bolla woga gididi, haan guuththara, heen guuththara hanana.
171c0e0058	Hessa gishshas intteno Yerusalaamen diza asaa haariza qilccizaytoo! GODAA qaalaa siyite.
171c0f00b8	Intte, «Nuni hayqora caaqettidos; duuforakka sigettidos; wordo nuus zempposonne qotettizaso ooththidos; wolqqama boshay pitti ekki bishe nuna bochchanaas dandayenna» gi otorettideta.
171c1000b1	Hessa gishshas Ubbaa Haariza GODAY, «Be7ite! Tani Xiyoonen paacettida shuch, yochcha shuch, mino yochchas gidiza bonchchettida gula shuch woththana; izan ammanizay yeellatenna.
171c1100b3	Tani suure pirda wadha wodoro, xilloteththika tumbe mala ooththana; intte wordo zempposo ooththidayssa shachcha iray meeccana; intte qotetti attizasozakka haaththi mittana» gees.
171c12008f	Intte hayqora caaqettida caaqoy attana; intte duufora sigettida sigay laalettana; wolqqama boshay pitti ekki bishe inttenakka pitti ekki baana.
171c130097	Izi yida wode wode inttena ekki baana; maalado maalado, qammanne gallas inttena pitti efana; ha qaalaa intte akeekizaa gidikko shiro bolla shiro ehana.
171c140054	Toho cogotti ichchontta mala hiixay qaanththa; gaththi may7anaas afalaykka guuththa.
171c1500a3	GODAY Paraaxime zuman ooththida mala, ba ooso, ba imaththa ooso, hessika ba ooraththa ooso ooththanaas dendana. Qasse Geba7oone zullen ooththida malakka ooththana.
171c1600ae	GODAY, Ubbaafe Wolqqama GODAY izi boshaa biitta ubbaa bolla ehanaas awajjidayssa tani siyida gishshas ha7i intte qilccizayssa aggite; akkay giikko intte bolla qashoy minnana.
171c170037	Ezgidi ta yootizayssa siyite; akeekidi ta qaala siyite.
171c180075	Goshshanchchay kath zeranaas ubba wode he soho goyishe de7izee? Qasse izi hem7e liiqisishenne ubbato pixishe de7izee?
171c190086	Goshshaa liiqisidi aasutanne aanuga zerennee? Gistteza izas giigidasohon, banggaa izas giigidasohon arddaa izas giigidasohon zerennee?
171c1a0036	Iza Xoossay iza tamaarssees; suure ogekka iza bessees.
171c1b0068	Aasutay lodan bukettenna; aanugay para-gaaren bukettenna; aasutay guufen, aanugay qeeri lodan bukettees.
171c1c009a	Sollo uukkanaas kaththi gaacettees; hessa gishshas issi asi mernaas kath bukkenna; kath bukkiza para-gaareta iza bollara laaggikokka kaththaa gaacettenna.
171c1d006e	Hayssi ubbay ba zoren malalisizaaz, ba aadho erateththan malalisizaaz gidida Ubbaafe Wolqqama GODAAPPE hanees.
171d01007d	Hanne Dawiti nenan de7ida Ar7eele katamayee! Nena aayye ana! Layththa bolla layth gujja; ba7aaletakka zaara zaarada bonchcha.
171d02006c	Gido attiin tani Ar7eele katamayo giddoththana; iza yeekkananne waassana; iza taas yarsho yarshizaso gidana.
171d030074	Tani ne yuushon dunkaanana; ta ne yuushon gimbe yuushsha aaththana; ne yuushon shakko ooththada ta nena un7eththana.
171d0400c8	Neni duge wodhdhana; biitta garsafe pude haasayana; ne haasayay gudullaa giddofe kezana; ne cenggurssi moytille cenggurssa mala biitta garsafe pude kezana; ne haasayaykka gudulla giddofe saasukettana.
171d050072	Gido attiin daro ne morkketi gudulla suulla mala, menxe iitati carkon biza happa mala gidana; qofay baynda dishin,
171d060086	Ubbaafe Wolqqama GODAY dadan, biittaa qaaththan, gita cenggurssan, gote carkoninne wolqqama abba dambalan ubbaa miza tama lacon yaana.
171d070098	Ar7eele oliza kawoteththata ubbaa wudey izi bollanne izi shakko bolla daafa yeggizaytinne dooddizayti, agumo malanne omars beettiza ajjuuta mala gidana.
171d080100	Gafida asi agumora mishe aqees; gido attiin izi dhiskofe dendishin gafay aggonttayssa mala, saamettida asi agumora uyishe aqees; gido attiin beeggishin daaburaynne saamoy iza aggonttayssa mala Xiyoone zuma oliza kawoteththata ubbaa wudey hessaththo hanana.
171d0900a2	Dammattidi malalettite; inttena intterkka qooqisidi qooqe gidite. Gido attiin woyne ushshu uyontta coo maththottite; maththosiza ushshu uyontta dishe gandigarite.
171d0a006f	GODAY intte bolla wolqqama dhisko yeggides; intte nabeta ayfe goozides; ajjuuta be7izayta hu7e gullunttissides.
171d0b00ea	Ha ajjuutay isttas xaaththa maxaafa giddon gordetti diza qaala mala gidides. Ha xaaththa maxaafa nababanaas dandayza asi, «Shoobbe nuus nababa» giidi intte immiko, izi inttes, «Gordettida gishshas tani nababanaas dandaykke» gaana.
171d0c008b	Qasse xaaththa maxaafaa nababo dandayontta asas, «Shoobbe nuus nababa» giidi intte izas immiko izi inttes, «Ta nababo dandaykke» gaana.
171d0d00c1	GODAY, «Hayssi derey doonan xalla taakko shiiqees; ba metershan xalla tana bonchchees; gido attiin iza wozinay taappe haakon dees. Istti asi tamaarsidanne asi woththida wogan taas goynneettes.
171d0e00cc	Hessa gishshas tani ha asaa bolla malalisiza miishsha bolla malalisiza miish ooththashe zaara zaara istta malalissana; aadho eranchchata erateththi dhayana; akeekanchchata akeekaykka pentti baana» gides.
171d0f00a3	Bantta halchcho GODAAPPE genththanaas duge ciimma ollan wodhdhizaytas bantta ooso dhuman ooththizaytas «Nuna ooni be7anee? Nuna ooni eranee?» gizaytas aayye ana!
171d1000ba	Intte yo7ota laammi yeggeeta; manata urqqa mala xeelleeta! Medhettidayssi medhdhidayssa, «Izi tana medhdhibeenna» gizee? Mana miishshi bana medhdhidayssa, «Izi aykkoka erenna» gizee?
171d110075	Libaanoosey laamettidi aradda gade gidanaas, aradda biittay laamettidi wora gidanaas guuththa wodey attides gidennee?
171d12006d	He gallas tulley xaaththa maxaafa qaala siyana; qooqe ayfetikka shaarumappenne dhumappe shaakettidi xeellana.
171d130045	Ashketi GODAAN, hiyeesati Isra7eele Geeshshan zaari zaari ufayettana.
171d14005e	Menxe iitati ubbay wurana; qilccizayti tim7i gaana; Iita ooththanaas zamadi uttidayti dhayana.
171d15008d	As yo7on mooranchcha kessizayti, shilotan mootettizayssa bolla woximade waaxizayti, wordo markkan tumateththa xillotappe bonqqizayti dhayana.
171d160076	Hessa gishshas Abrahaame wozzida GODAY Yaaqoobesos, «Yaaqoobey hayssafe guye yeellatenna; iza sinththika laamettenna.
171d1700c0	Bantta giddon ta kushe ooso gidida bantta nayta be7ishe ta sunththaa geeshshateththan naagana; istti Yaaqoobe Geeshshaza geeshshateth erana; Isra7eele Xoossaa sinththan yashshateththan eqqana.
171d180049	Ayanan balidayti simmidi akeekana; zuuzumizaytikka timirte ekkana» gees.
171e01009a	GODAY, «Makkallanchcha gidida naytas aayye ana! taappe gidontta qofa kaalleettes; ta Ayanappe gidontta caaqo caaqqeettes; nagara bolla nagara gujjeettes.
171e020072	Tana zore oychchontta Gibxe wodhdheettes; kawo Paarooney isttas gondalle gidana mala Gibxe kuwan attana koyeettes.
171e030070	Gido attiin Paaroone gondalleteththi isttas kawushshateth gidana; Gibxe kawon ateththi istta bolla yeella ehana.
171e040047	Istta shuumeti Xaanoosen diikkoka, istta kiittidayti Haneesen diikkoka,
171e0500a1	isttas yeellateththinne kawushshateth xalla gidana attiin maado woykko wodhe isttas ehontta aykko go7akka isttas immontta asata gaason ubbayka yeellatana» gees.
171e0600e4	Negeben diza medosata gishshas GODAY yootida qaalay wodalla gaammotinne macca gaammoti dizason, marzera diza shooshshatinne xongettiza shooshshati dizason, metoynne ceecey kumida biittara aadhdhi biidi, istti go7ontta deretakko,
171e070086	izi maados mulekka go7ay baynda dere istti Gibxe baana; hessa gishshas tani izi sunththaa «Aykkoka go7onttaaro Era7aabe» ga xeygana.
171e080072	Ha7i ba; saleedan isttas xaafa; xaaththa maxaafa bollaka cadda; hessi buroppe yaana wodetan mernaas markka gidana.
171e09004f	Hayti GODAA azazo siyana koyonttayti, makkallanchcha derenne baleththiza nayta.
171e0a009c	Ajjuuta be7izayta, «Hayssafe guye ajjuuta be7opite» gaana; nabeta, «Hayssafe guye nuus tuma tinbite yootopite; nuna ufayssizaazinne miichchizaaz yootite.
171e0b0069	Hayssa ogaappe kichchite; ha wogga ogaappe haakkite; Isra7eele Geeshshaara nuna tiran gaththofte» gaana.
171e0c008a	Hessa gishshas Isra7eele Geeshshay, «Intte ha qaala kadhida gishshas, genen intte ammanettida gishshassinne baleththon zemppida gishshas,
171e0d005f	hayssi ha nagarazi phalqetti kundananne qoppontta dishin kundiza gita gimbe mala isttas gidana.
171e0e00a5	Meqerettoyssa giddofe tama bonqqo kaashiza kon7ay, haaththe duuqqiza kon7ay dhayanaashe gakkanaas, aykkoyka attontta tiifettiza mana miishsha mala tiifettana» gees.
171e0f00a4	Ubbaa Haariza GODAY, Isra7eele Geeshshay, «Intte taakko simoninne tanan shempon attana; woppaninne ammanon intte minnana; intte gidikko hessaththo ooththibeekketa.
171e1000ce	Qasseka, ‹Chii! Nuni paran utti baqatana› gideta; hessa gishshas intte baqatana. Zaaridikka intte, ‹Nuni pilata paran kessi ekki baana› gideta; hessa gishshas inttena yedeththizayti pilatata gidana.
171e1100c8	Intte zuma hu7en eqqida bandira mala zumbullata xeeran eqqida malata mala gidi intte attanaashe gakkanaas issi asa mandeththan 1,000 asi baqatana; ichchash asa mandeththan intte ubbay baqatana» gees.
171e1200b1	Gido attiin GODAY inttes kiya ooththanaas naagees; inttena ba qadheteththa bessanaas dendees; GODAY tumu pirdiza Xoossa gidida gishshas ammanettidi iza naagizayti anjjettidayta.
171e1300b8	Intteno Yerusalaamen de7iza Xiyoone derezoo! Hayssafe sinththan intte yeekkeketa; intte izakko waassishin izi inttena waani maarennee? Intte waaso izi siyidi inttes eeson zaaro immana.
171e14008f	GODAY inttes waaye kaththinne meto haath immikokka hayssafe guye intte astamaarey inttefe qotettenna; intte ayfetikka intte astamaareza be7ana.
171e15006d	Intte hadirs woykko ushach giikko intte guyera, «Ogezi hayssa; izara biite» gizayssa intte hayththi siyana.
171e16009a	Hessafe biran meeshettida intte eeqa xoossatanne worqqan meeshettida misleta intte moorana; «Nuuppe haakkite» giidi tuna carqqa mala intte wora yeggana.
171e170080	Ne zerida kaththas izi ira immana; biittafe mokkida kaththay muurutanne daro gidana. He wode intte mehey aaho demban heemettana.
171e180049	Goshsha booratinne hareti bakkan bukki suragettida harqqonne basso maana.
171e190082	Asay wuriza wolqqama gallassan miixati laalettishin gita zumata ubbata bollafenne zumbullata ubbata bollafe duge haaththi goggana.
171e1a009d	GODAY meqqida ba deraa koolishin, madunththidayssa paththishin, aginay arshe mala poo7ana. Arshes issi gallassa poo7oykka laappun gallassa poo7o mala gidana.
171e1b0098	Be7ite, GODAA sunththay eexxiza hanqora, shaara mala dhippi gida cuwara haakoppe yaana; iza metershati hanqon kumida; iza inxarsayka xuuggiza tama mala.
171e1c0096	Iza peenoykka qoodhe gakkidi meecci efiza kixa haaththa mala; kawoteththatakka dhayso zayzaren zayzarees; asaa doonan oge baleththiza bixala barssees.
171e1d00b6	Omars geeshsha ba7aale intte bonchchishe yexxizayssaththo intte yexxana; GODAA zumaakko Isra7eele Zaallaako asay susul7e susul7ishe ufayssan kezizayssaththo intte wozinay ufayettana.
