0100000014	Англунимос
2a0914009c	— А тумэ важ касти прилэн Ман? — пушля лэн Исусо. — Дэвлэско Христосо, — пхэндя Пэтро.
2a09150074	Нэ Исусо припхэндя лэнди, кай никасти тэ на роспхэнэн пала када.
2a0916011a	Пхэндя: — Шаво Манушыкано авэла андэ бари грыжа, и Лэс на прилэна пхурэдэра, барэ рашая и сытяримаря Законостирэ. Вов авэла умардо, ай по трито дес жундёла.
2a091700ed	Тунчи Исусо пхэндя лэнди: — Сар ко камэл тэ жал пала Мандэ, мэк отпхэндёл ежэно пэстар, кажно дес лэл пэско трушул и жал пала Мандэ.
2a091800d5	Кодва, ко камэл тэ фэрисарэл пэско жувимос, хасарэла лэс, а ко хасарэла пэско жувимос важ Манди, кодва фэрисарэла лэс.
2a091900a2	Со за мищимос манушэсти, сар вов лэла всавори люма, а ежэно хасавэла и терэла грыжа пэсти?
2a091a0117	Ко лажала Мандар и Мэрнэ лавэндар, колэстар лажала и Шаво Манушыкано, кала авэла андэ Пэстири слава и андэ слава лэ Дадэстири, и свэнтонэнца ангелонэнца.
2a091b00d6	Пхэнав тумэнди чячимос: исин машкар тумэндэ кола, савэ тэрдён катэ, онэ на мэрэна, сар удикхэна о Тхагаримос Дэвлэско.
2a091c00ea	Кала прожыля варикай охта деса, сар Исусо пхэндя кала лава, Вов ля Пэтрос, Иоанос и Иаковос и вазгляпэ по плай тэ мангэлпэ Дэвлэс.
2a091d00af	Андэ кодья вряма, сар мангэласпэ, Лэско муй парудиля, Лэстири йида ашыля парни тай свэтосавэлас.
2a091e008b	И акэ, авиле дуй мурш, савэ линэ тэ дэн дума Исусоса, — када сас Моисеё и Илия.
2a091f00b8	Онэ авиле андэ бари слава и пхэнэнас, со Лэсти трэбуй тэ жал андо Иерусалимо кай тэ ашавэл кадья люма.
2a092000c8	Пэтро и ко сас лэса засутэ. Но сар просутэпэ, удикхле слава Исусостири и дуен муршэн, савэ тэрдёнас паша Лэстэ.
2a0921014c	Кала мурша линэ тэ жантар, Пэтро пхэндя Исусости: — Сытяримари! Амэнди катэ фартэ мишто! Амэ стераса трин катуны: екх Тути, екх Моисеёсти и екх Илиясти. Ежэно на полэлас, со дэлас дума.
2a092200d1	Кала вов дэлас дума, авиля облако пэр лэндэ и онэ попэле талав лэстэ. Сар попэле андо облако, онэ фартэ пэрэдарайле.
2a09230080	Андав облако пхэндя гласо: — Када Мэрно Шаво, Мэрно вытидо. Лэс ашунэн!
2a092400ec	Сар гласо на ашыля, онэ удикхле екхэс Исусос. Онэ ашэнас мулком пала кода и андэ кодья вряма никасти на роспхэнэнас, со онэ дикхле.
2a0925008d	Пэ авэр дес, кала онэ змукэнаспэ пав плай, Исусос ажутярэнас фартэ бут мануша.
2a092600b2	И екх мануш андар лэндэ зацыписайля: — Сытяримари! Мангав Тут, подикх по мэрно шаво, вов екх мандэ.
2a092700f9	Лэс схутилэл и тасавэл духо, и тунчи шаворо лэл тэ цыписавэл, тэ тиносавэл и тэ мукэл саля. Духо фартэ марэл лэс и тунчи цыра отжал лэстар.
2a0928006e	Мэ манглем Тирэн сытярнэн тэ вытрадэн лэс, но онэ на вытрадэ.
2a092900e2	— Напатимаско и билажавардо родо, — пхэндя Исусо. — Скачи Манди тэ авав тумэнца и тэ тэрписарав тумэн? Ан тирэс шавэс кардэ.
2a092a00fc	Кала шаворо инке жалас, бэнг шутя лэс пэ пхув и ля тэ марэл лэс. Но Исусо запхэндя найжужэ духости, састярдя шаворэс и отдя лэстирэ дадэсти.
2a092b00ee	Всаворэ дивосайле, саво баро Дэл. Андэ кодья вряма, сар всаворэ дивосавэнас колэсти, со тердя Исусо, Вов пхэндя Пэстирэ сытярнэнди:
2a092c00bd	— Ашунэн мишто, со Мэ тумэнди икхатар пхэнава: Шаво Манушыкано сыго авэла отдино андэ васт манушэндирэ.
2a092d00dd	Но онэ на полинэ, со Вов пхэндя. Лэнди када сас затердо, и онэ на полинэ, со сас пхэндо, а тэ пушэн Лэс пала када лав даранас.
2a092e006d	Машкар сытярнэ екхвар сас дума пала кода, ко лэндар майбаро.
2a092f008a	Исусо жангля, со онэ гындонас андэ водя, ля цэкнэс бэятос и тходя паша Пэстэ.
2a09300158	— Ко важ Мэрно алав прилэл акацавэс бэятос, — пхэндя Исусо, — кодва и Ман прилэл, а ко прилэл Ман, кодва прилэл Колэс, ко Бишалдя Ман. Ко машкар тумэндэ майцэкно всаворэндар, кодва и майбаро.
2a09310125	Иоано пхэндя Лэсти: — Сытяримари! Амэ дикхле манушэс, саво Тирэ алавэса вытрадэл бэнгэн. Амэ запхэндэ лэсти, колэстар со вов на пхирэл пала Тутэ екхэтанэ амэнца.
