0100000012	Англунимо
2a0c2400e7	Авэн, сар бутярнэ, савэ дожутярэн пэхкэрэ хулае бьявэстар. Вонэ екхатар лэсти оттерэна вудара, кала шунэна, со вов марэл дэ лэн.
2a0c25012f	Бахталэ кодэла бутярнэ, савэ на совэна, кала авэла лэнгоро хулай. Чячимаґа пхэнав тумэнди: вов еджино зацырдэла кущик, акхарэла лэн пала скаминд и терэла важ лэн бути.
2a0c26006c	Бахталэ кодэла, савэ дожутярэн хулае и дэ епашрят, и дэнзор.
2a0c270093	Полэн, тэ джянэл хулай, кала авэла чёр, вов бы на домукэлас лэсти тэ заґуле дэ цэр.
2a0c2800a8	А тумэ дожутярэн и авэн гата, колэсти со Чяво Манушыкано авэла тунчи, кала тумэ на думисарэн.
2a0c290096	Тунчи Пётро пхэнда Лэсти: — Рае! Ту кици амэнди пхэнэх кадэла лава чи важ всавэрэн?
2a0c2a010d	Рай пхэнда: — Со терэла пативало и годявэр бутярно, савэ хулай ачявда тэ дыкхэ пала цэрэ и аврэн бутярнэн, соб тэ роздэл лэнди хамо дэ пэхкири вряма?
2a0c2b00b1	Кала рисявэла хулай и дыкхэла, со бутярно терэл пэхкири бути, тунчи кадэва бутярно авэла бахтало.
2a0c2c00b2	Чячимаґа пхэнав тумэнди, со хулай терэла кадэлэ бутярнэ пхурэдэрэґа пав всавэрэ пэхкэрэ хулаима.
2a0c2d00fa	Нэ кала кодэва бутярно пхэнэла еджино пэсти: «Муро хулай на сиго авэла», — и ачела тэ марэ аврэн бутярнэн и бутярнен, обхалапэ тай матёла,
2a0c2e0123	тунчи авэла хулай дэ дивэ, кала бутярно лэ на дожутярэл, и дэ вряма, пала савя бутярно на джянэл. И мулярэла лэ, и авэла лэсти бида їтханэ бидэвлэхкэрэ манушэнца.
2a0c2f00ad	Бутярно, саво джянгля, со камэл лэстар хулай, нэ на сля гата, и на стерда кади, авэла фартэ мардо.
2a0c300136	А бутярно, саво на джянгля и стерда кода, пала со марэна, авэла мардо набут. Касти Дэвэл дэня бут, кодэлэстар бут и лэлапэ. И касти бут допатиня, кодэлэстар будэр пхучелапэ.
2a0c31009a	Мэ авилём, соб тэ запхабарэ яг пэ пхуя, и сар Мэ камав, соб вой сигэдэр тэ розпхаболпэ!
2a0c32008b	Манди трэбуни тэ болдэпэ, и стасавэл грыжа Муро їло, кала кода вса дожутярав!
2a0c3300ad	Тумэ гинисарэн, Мэ авилём, соб тэ анэ пэ пхув пачя? Нат, пхэнав тумэнди: Мэ авилём тэ анэ врыжымо.
2a0c3400b7	Акана їри панче манушэндар розджялапэ машкар пэстэ, трин ваздэнапэ пэ дон и дуй ваздэнапэ пэ тринэн.
2a0c350104	Дад ваздэлапэ пэ чявэ, и чяво ваздэлапэ пэ дадэ. Дэй ваздэлапэ пэ чя, и чей ваздэлапэ пэ да. Сасуни ваздэлапэ пэ боря, а бори ваздэлапэ пэ сасуня.
2a0c3600f1	Тунчи Исусо пхэнда манушэнди: — Кала тумэ дыкхэн, сар пэ западо ваздэлпэ хмара, тумэ пхэнэн: «Дэла брышынд». И кади исин, брышынд дэл.
2a0c370094	И кала пхурдэл барвал южнона ригатар, тумэ пхэнэн: «Кхам пэкэла», — и кади выджял.
2a0c3800c7	Домуенгэрэ! Тумэ дыкхэн пэ упралима и пэ пхуя и джянэн, со авэла аври, ай сави вряма авиля акана, тумэ на полэн?
2a0c390056	И сости тумэ еджинэ на розлэнпэ, со исин чячимо?
2a0c3a0179	Кала ту джях пэхкэрэ врыжымашэґа дэ сындо, стер вса, соб тэ допхэнэпэ лэґа инте пав дром. А кала на допхэнэґапэ, вов цырдэла тут сындимарестэ, а сындимари отдэла тут халавдэсти, и халавдо чувэла тут дэ барунэ.
2a0c3b0079	Пхэнав тути: на выджяґа котарь ды колэ, сар на отдэґа ды екхэ мардэ.
2a0d010121	Дэ кодыя вряма авиле Исусостэ койсавэ мануша и розпхэндэ пала манушэн Галилеятар, савэн Пилато прыпхэнда тэ мулярэ и мукля лэнди рат, кала вонэ анэнас жэртвы.
2a0d0200ed	Исусо пхэнда лэнди: — Тумэ гинисарэн, со кадэла галилеянуря тердэ бэзимо будэр аврэ манушэндар дэ Галилея и кодэлэсти хале грыжа?
2a0d030083	Нат, пхэнав тумэнди. Нэ кала тумэ на ачявэна бэзимо, хасявэна, сар и вонэ.
2a0d040124	А кодэла дэшуохто манушэн, савэ помуле, кала тэлэдэня пэ лэн упрал башня дэ Силоамо? Тумэ гинисарэн, со вонэ сле дошадэр всавэрэндар, савэ джювэнас дэ Ерусалимо?
2a0d05009d	Нат, пхэнав тумэнди. Нэ кала тумэ на ачявэна бэзимо, тунчи всавэрэ хасявэна, сар и вонэ.
2a0d060112	Тунчи пхэнда лэнди кацави дума: — Екхэ манушэстэ сля инжырно кашт дэ лэхкоро винограднико. Вов авиля тэ родэ пэ кадэва кашт барило, нэ нисо на аракхля.
2a0d070126	И пхэнда виноградарести: «Акэ, дыкх, мэ трито бэрш авав, соб тэ аракхэ барило пэ кадэва инжырно кашт, нэ нисо на аракхав. Сщин лэ! Пэ со вов ивья залэл пхув дэ садо?»
2a0d0800c8	Нэ виноградари пхэнда лэсти: «Хулае! Мэк кадэва кашт инте екх бэрш барёла. А мэ пхув ковлярава и гуниво чувава.
2a0d09007e	И кала пэ авэр бэрш анэла барило — мишто. А кала на анэла, сщинэґа лэ».
2a0d0a0053	Екхвар дэ суббота Исусо сиклярда дэ синагога.
2a0d0b00ee	Котэ сля екх джювли, дэ кастэ дэшуохто бэрш сля налачё фано, саво дэлас лати дукх. Вой сля банги, кади со нащи лати сля тэ ваздэ шэро.
2a0d0c0096	Исусо удыкхля ла, акхарда тай пхэнда: — Джювлие! Ту састярэхпэ тирэ насвалимастар!
2a0d0d00a4	И тховда пэ латэ васта. Вой екхатар пэрэачиля тэ авэ банги и ачиля тэ ваздэ слава Дэвлэсти.
2a0d0e0149	Тунчи пхурэдэр дэ синагога мижыля, со Исусо састярда дэ суббота, и пхэнда манушэнди: — Исин шов дивэ, кала трэбуни тэ терэ бути. Дэ кадэлэн дивэн авэнтэ тэ састярэпэ, а на дэ суббота.
