0100000008	Genesisi
172a0b008d	Gwenga namaguta aro ngazvidanidzire; nzvimbo dzinogara Kedhari ngadzifare. Vanhu veSera ngavaimbe nomufaro; ngavapururudze pamusoro pemakomo.
172a0c0041	Ngavape rukudzo kuna Jehovha uye vaparidze rumbidzo yake kuzviwi.
172a0d0084	Jehovha achabuda somunhu ane simba, semhare, achamutsa kushingaira kwake; nokudanidzira, achamutsa kurwa uye achakunda vavengi vake.
172a0e00b3	“Nokuti ndanga ndakanyarara kwenguva refu, ndanga ndinyerere uye ndichizvidzora. Asi zvino kufanana nomukadzi ari kusununguka, ndiri kudanidzira, ndiri kufemedzeka nokutakwaira.
172a0f0084	Ndichaparadza makomo nezvikomo, uye ndichaomesa zvose zvawo zvinomera; ndichashandura nzizi dzikava zviwi, uye madziva ndichaaomesa.
172a1000f7	Ndichatungamirira mapofu nenzira dzavasingazivi, nomumakwara avasina kuziva, ndichavatungamirira; ndichashandura rima rikava chiedza pamberi pavo uye ndichaita kuti nzvimbo dzakaipa dziti chechetere. Izvi ndizvo zvinhu zvandichaita; handizovasiya.
172a11007d	Asi ivo vanovimba nezvifananidzo, vanoti kune zvakaumbwa, ‘Ndimi vamwari vedu,’ vachadzoserwa shure mukunyadziswa kukuru.
172a120031	“Inzwai, imi matsi; tarirai, imi mapofu, muone!
172a1300a7	Ndianiko bofu, asi muranda wangu, uye matsi kufanana nenhume yandinotuma? Ndianiko bofu rakafanana naiye akazvipira kwandiri, kana bofu rakafanana nomuranda waJehovha?
172a140063	Wakaona zvinhu zvizhinji, asi hauna kuva nehanya; nzeve dzako dzakazaruka, asi hauna chaunonzwa.”
172a150056	Zvakafadza Jehovha nokuda kwokururama kwake, kuti akudze murayiro wake uye aubwinyise.
172a1600d4	Asi ava ndivo vanhu vakapambwa uye vakabirwa, vose vakasungwa mumakomba kana kuti vakavanzwa mumatorongo. Vakava vabatwa, pasina anovarwira; vakaitwa chinhu chakapambwa, pasina anoti, “Vadzoserei kwavakabva.”
172a170059	Ndiani pakati penyu achateerera izvi, kana kurerekera nzeve dzake zvikuru panguva inouya?
172a1800b6	Ndiani akarega Jakobho achipambwa, akaendesa Israeri kuvapambi? Akanga asiri Jehovha here, iye watakatadzira? Nokuti havana kuda kutevera nzira dzake; havana kuteerera murayiro wake.
172a1900b6	Naizvozvo akadururira hasha dzake dzinopisa pamusoro pavo, iro bongozozo rehondo. Rakavaputira muvira romoto, asi havana kunzwisisa; rakavapisa, asi mwoyo yavo yakashaya hanya nazvo.
172b010098	Asi zvino, zvanzi naJehovha, iye akasika iwe Jakobho, iye akakuumba iwe Israeri: “Usatya, nokuti ndakakudzikinura; ndakakudana nezita rako; uri wangu.
172b020095	Paunopfuura nomumvura zhinji ini ndichava newe; uye paunopinda nomunzizi, hadzizokukukuri. Paunofamba nomumoto, haungazotsvi; murazvo haungazokupisi.
172b030095	Nokuti ndini Jehovha, Mwari wako, Mutsvene waIsraeri, Muponesi wako; ndinopa Ijipiti kuti ive rusununguko rwako, Etiopia neShebha pachinzvimbo chako.
172b040092	Sezvo uchikosha uye uchikudzwa pamberi pangu, uye nokuti ndinokuda, ndichaisa vanhu panzvimbo yako, namarudzi avanhu pachinzvimbo choupenyu hwako.
172b050065	Usatya, nokuti ndinewe; ndichauyisa vana vako kubva kumabvazuva, ndichakuunganidzai kubva kumavirira.
172b0600ac	Ndichati kurutivi rwokumusoro, ‘Varegedze!’ uye kurutivi rwezasi, ‘Usavadzivisa.’ Uyisai vanakomana vangu kubva kure, uye navanasikana vangu vabva kumigumo yenyika,
172b070057	vose vanodanwa nezita rangu, vandakasikira kukudzwa kwangu vandakaumba uye ndikaita.”
172b080040	Uyai neavo vane meso asi vari mapofu, vane nzeve asi vari matsi.
172b0900f9	Ndudzi dzose ngadziungane pamwe chete, uye marudzi ngaaungane. Ndianiko pakati pavo akati izvi zvichaitika, akatiparidzira zvinhu zvakare? Ngavauye nezvapupu zvavo kuti zvionekwe kuti havana mhosva, kuitira kuti vamwe vanzwe vagoti, “Ichokwadi.”
172b0a00fd	“Imi muri zvapupu zvangu,” ndizvo zvinotaura Jehovha, “uye nomuranda wangu wandakasarudza, kuti mugoziva uye mugonditenda uye mugonzwisisa kuti ndini iye. Hakuna kumbova nomumwe mwari akaumbwa ndisati ndavapo, uye hakuchazova nomumwe shure kwangu.
172b0b003c	Ini, iyeni, ndini Jehovha, uye kunze kwangu hakuna muponesi.
172b0c00b4	Ini ndakaratidza ndikaponesa, ndikaparidza, ini, kwete vamwe vamwari vedzimwe ndudzi vari pakati penyu. Imi muri zvapupu zvangu,” ndizvo zvinotaura Jehovha, kuti, “ndini Mwari.
172b0d007b	Hongu, kubva pamazuva akare ndini iye. Hakuna angarwira munhu muruoko rwangu. Pandinoita chinhu, ndianiko angachikonesa?”
172b0e00b3	Zvanzi naJehovha, Mudzikunuri wenyu, Mutsvene waIsraeri: “Ndichatuma vanhu kuBhabhironi nokuda kwenyu, uye ndichaburitsa vaBhabhironi vose vachitiza, muzvikepe zvavaidada nazvo.
172b0f0040	Ndini Jehovha, Mutsvene Wenyu, Musiki waIsraeri, Mambo wenyu.”
172b100052	Zvanzi naJehovha, iye akaita nzira pakati pegungwa, nenzira mukati memvura zhinji,
172b110084	iye akabudisa ngoro namabhiza, hondo pamwe chete nezvinosimbisa, vakavata ipapo, havana kuzombomukazve, vadzimwa, vadzimwa somwenje:
172b120040	“Chikanganwai zvinhu zvakare; musaramba muri pane zvakapfuura.
172b130074	Tarirai, ndava kuita chinhu chitsva! Zvino chava kumera; hamuchioni here? Ndiri kuita nzira mugwenga nehova musango.
172b140096	Zvikara zvesango zvinondikudza, makava namazizi, nokuti ndinozvipa mvura mugwenga nehova musango, kuti ndipe vanhu vangu chokunwa, vasanangurwa vangu,
172b15003a	vanhu vandakazviumbira, kuti vaparidze kurumbidzwa kwangu.
172b160067	“Kunyange zvakadaro hauna kudana kwandiri, iwe Jakobho; hauna kuzvinetesa nokuda kwangu, iwe Israeri.
172b1700a2	Hauna kundivigira makwai ezvipiriso zvinopiswa, kana kundikudza nezvibayiro zvako. Handina kukuremedza nezvipiriso zvezviyo, kana kukunetesa nokuda zvinonhuhwira.
172b180092	Hauna kundivigira kana zvinotapira, kana kundigutsa namafuta ezvibayiro zvako. Asi wakandiremedza nezvivi zvako uye ukandinetesa nokudarika kwako.
172b190062	“Ini, iyeni, ndini ndinodzima kudarika kwako, nokuda kwangu, handizorangaririzve zvakaipa zvako.
172b1a005e	Ndiyeuchidze zvakapfuura, ngatitaurirane nyaya iyi pamwe chete; zvipupurire kuti hauna mhosva.
172b1b0036	Tateguru wako akatadza; vamiririri vako vakandimukira.
172b1c006e	Naizvozvo ndichanyadzisa vanokudzwa vomutemberi yako, uye ndichaita kuti Jakobho aparadzwe uye Israeri asekwe.
172c01004a	“Asi zvino chinzwa, iwe Jakobho, muranda wangu, Israeri, wandakasarudza.
172c020086	Zvanzi naJehovha, iye akakuita, akauumba mudumbu uye iye achakubatsira: Usatya, iwe Jakobho, muranda wangu, Jeshuruni, wandakasarudza.
172c0300a6	Nokuti ndichadurura mvura panyika ine nyota, nehova pamusoro pevhu rakaoma; ndichadurura Mweya wangu pamusoro porudzi rwako, nemikomborero yangu pamusoro pavana vako.
172c040044	Vachamera souswa mudekete, semiti yemikonachando pahova dzinoyerera.
172c0500b5	Mumwe achati, ‘Ndiri waJehovha’; mumwe achazvitumidza nezita raJakobho; zvakadaro, mumwe achanyora muruoko rwake achiti, ‘Ndiri waJehovha,’ uye achatora zita rokuti Israeri.
172c06008e	“Zvanzi naJehovha, Mambo waIsraeri noMudzikinuri, Jehovha Wamasimba Ose: Ndini wokutanga uye ndini wokupedzisira; kunze kwangu hakuna Mwari.
172c0700c3	Ndianiko zvino akafanana neni? Ngaazvitaure. Ngaadanidzire, azviise mberi kwangu izvo zvakaitika kubva pandakasimbisa vanhu vangu vekare, uye kuti chiiko chichaitika hongu, ngaataure zvichaitika.
172c0800c2	Musadedera, musatya. Handina kuparidza izvi here uye ndikazvitaura kare kare? Imi muri zvapupu zvangu. Kune mumwe Mwari kunze kwangu here? Kwete, hakuna rimwe Dombo; hakuna rimwe randinoziva.”
172c09009c	Vose vanoita zvifananidzo havana maturo, uye zvinhu zvavanofarira hazvibatsiri. Vose vangada kuvapupurira mapofu; havazivi, ndiko kuchava kunyadziswa kwavo.
172c0a0048	Ndiani anoveza mwari uye anoumba chifananidzo, chisingamubatsiri chinhu?
172c0b00ae	Iye navamwe vake vachanyadziswa; mhizha hadzizi chinhu asi vanhu zvavo. Ngavaungane vose pamwe chete uye vamire vasingazungunuswi; vachaderedzwa, uye vachatya vachanyadziswa.
172c0c00c3	Mupfuri anotora chokupfurisa agochishandisa mumazimbe; anoita chifananidzo nenyundo, agochiumba nesimba roruoko rwake. Anonzwa nzara agorasikirwa nesimba rake. Mukusanwa kwake mvura anobva aziya.
172c0d00b6	Muvezi anoyera nerwodzi ozoita mutsetse nechokunyoresa; anounatsa nembezo, uye anoutara nezvienzaniso. Anouumba mumufananidzo womunhu, womunhu nokunaka kwake kwose, kuti ugare mumba.
172c0e009b	Akatema misidhari, kana zvimwe akatora musipuresi kana muouki. Akaurega uchikura pakati pemiti yesango, kana kuti akasima mupaini, mvura ikaita kuti ukure.
172c0f00c1	Ndidzo huni dzomunhu dzokuvesa moto; dzimwe dzacho anodzitora agozvidziyisa nadzo, anovesa moto agobika chingwa nadzo. Asizve anoveza chimwari agochinamata; anoita chifananidzo agochipfugamira.
172c1000a5	Hafu yehuni anopisa mumoto, nadzo anobika zvokudya zvake, anogocha nyama yake agoidya achiguta. Anozvidziyisazve, agoti, “Haiwa! Ndadziyirwa; moto ndiri kuuona.”
172c11009b	Nezvasara anoita nazvo chimwari, icho chifananidzo chake; anochipfugamira agochinamata. Anonyengetera kwachiri achiti, “Ndiponesei; ndimi mwari wangu.”
172c1200b9	Havana chavanoziva, havanzwisisi chinhu, meso avo akanamwa kuitira kuti varege kuona, uye ndangariro dzavo dzakafukidzirwa kuitira kuti varege kunzwisisa. Hapana anombomira kuti afunge,
172c1300ee	Hapana ane ruzivo kana kunzwisisa kuti ati, “Hafu yacho ndaishandisa pakuvesa moto; ini iyeni ndabikira chingwa pamazimbe acho, ndagocha nyama ndikadya. Ndichaita zvinonyangadza pane zvasara here? Ndichapfugamira kudanda rehuni here?”
172c14009d	Anodya madota, mwoyo wakanyengerwa unomutsausa; haagoni kuzviponesa kana kuti ati, “Ko, chinhu ichi chiri muruoko rwangu rworudyi hachisi chenhema here?”
172c150092	“Rangarira zvinhu izvi, iwe Jakobho, nokuti uri muranda wangu, iwe Israeri. Ndakakuita, uri muranda wangu; haiwa Israeri, handichakukanganwizve.
172c160073	Ndakadzima kudarika kwako segore, nezvivi zvako semhute yamangwanani. Dzokera kwandiri, nokuti ndakakudzikinura.”
172c1700d6	Imbai nomufaro imi matenga, nokuti Jehovha akaita izvozvi; danidzira nesimba, iwe nyika iri pasi. Imbai nziyo, imi makomo, nemi masango nemiti yose, nokuti Jehovha adzikinura Jakobho, akaratidza kubwinya muIsraeri.
172c18009e	“Zvanzi naJehovha, mudzikinuri wako, iye akakuumba uri mudumbu: “Ndini Jehovha, akaita zvinhu zvose, iye oga akatatamura matenga, akatambanudza nyika oga,
172c19009d	“iye anokonesa zviratidzo zvavaprofita venhema, anoita kuti vavuki vave mapenzi, iye anoparadza kudzidza kwevane njere, uye anokushandura kuti kuve upenzi,
172c1a00c2	anozadzisa mashoko omuranda wake, uye anozadzisa zvakaprofitwa nenhume dzake, “anoti kuJerusarema, ‘Richagarwa,’ nokumaguta eJudha, ‘Achavakwa,’ nokumatongo awo, ‘Ndichaavandudza,’
172c1b0043	iye anoti kumvura yakadzika, ‘Oma, uye ndichaomesa hova dzako,’
172c1c00ca	iye anoti pamusoro paSirasi, ‘Ndiye mufudzi wangu uye achaita zvose zvandinoda; iye achati pamusoro peJerusarema, “Ngarivakwezve,” uye pamusoro petemberi achati, “Nheyo dzayo ngadziteyiwe.”’
172d0100d9	“Zvanzi naJehovha kumuzodziwa wake, kuna Sirasi, ane ruoko rworudyi rwandakabata kuti akunde ndudzi pamberi pake, uye kuti atorere madzimambo zvombo zvavo, kuti ndizarure mikova pamberi pake, masuo agorega kupfigwa:
172d02007c	Ndichaenda mberi kwako uye ndichaenzanisa makomo; ndichaputsa masuo endarira uye ndichacheka ndigopinda napamazariro esimbi.
172d030087	Ndichakupa pfuma yerima, upfumi hwakavigwa panzvimbo dzakavanda, kuti uzive kuti ndini Jehovha, Mwari waIsraeri, anokudana nezita rako.
172d0400a2	Nokuda kwaJakobho muranda wangu, nokwaIsraeri musanangurwa wangu, ndinokudana nezita rako, uye ndinoisa pamusoro pako zita rokukudzwa, kunyange iwe usingandizivi.
172d05006a	Ndini Jehovha, uye hakuna mumwe; kunze kwangu ini hakuna Mwari. Ndichakusimbisa, kunyange usina kundiziva,
172d06007d	kuti kubva kumabudazuva kusvikira kwarinovirira, vanhu vazive kuti hakuna mumwe kunze kwangu. Ndini Jehovha uye hakuna mumwe.
172d07007a	Ndinoumba chiedza uye ndinosika rima, ndinoita rugare uye ndinosika njodzi; ini Jehovha, ndini ndinoita zvinhu izvi zvose.
172d0800bc	“Imi matenga kumusoro, nayisai kururama; makore ngaakudonhedze pasi. Nyika ngaizaruke kwazvo, ruponeso ngarutubuke, kururama ngakukure pamwe chete narwo; ini Jehovha, ndini ndakazvisika.
172d0900c6	“Ane nhamo uyo anokakavadzana noMuiti wake, iye anongova chaenga pakati pezvaenga pamusoro pevhu. Ko, ivhu ringati kumuumbi, ‘Uri kugadzirei?’ Ko, basa rako rinoti here, ‘Uyu haana maoko?’
172d0a006e	Ane nhamo uyo anoti kuna baba vake, ‘Chiiko chamakabereka?’ kana kuna mai vake, ‘Chiiko chamakazvara?’
172d0b00af	“Zvanzi naJehovha, iye Mutsvene waIsraeri, noMuiti wake: Pamusoro pezvinhu zvichauya, unondibvunza here pamusoro pavana vangu, kana kundirayira pamusoro pebasa ramaoko angu?
172d0c009a	Ndini ndakaita nyika uye ndikasika vanhu vendudzi dzose pamusoro payo. Maoko angu pachangu akatatamura matenga; ndakarayira hondo dzawo dzose dzenyeredzi.
172d0d00d7	Ndichamutsa Sirasi mukururama kwangu: ndichaita kuti nzira dzake dzose dzirurame. Achavakazve guta rangu, uye achasunungura vatapwa vangu, asi pasina muripo kana mubayiro, ndizvo zvinotaura Jehovha Wamasimba Ose.”
172d0e0144	Zvanzi naJehovha: “Zvibereko zveIjipiti nezvinoshambadzirwa zveEtiopia, navaSabhea varefu, vachauya kwauri uye vachava vako; vachatevera mushure mako, vachiuya kwauri vakasungwa nengetani. Vachapfugama pamberi pako uye vachakunyengetedza, vachiti, ‘Zvirokwazvo Mwari anewe, uye hakunazve mumwe; hakuna mumwe mwari.’”
172d0f0043	Zvechokwadi muri Mwari anozvivanza, imi Mwari noMuponesi waIsraeri.
172d100064	Vose vanoita zvifananidzo vachava nenyadzi uye vachanyadziswa, vachasvika pakunyadziswa pamwe chete.
172d110082	Asi Israeri achaponeswa naJehovha noruponeso rusingaperi; hamuchazombonyadziswi kana kuva nenyadzi, kusvikira kumakore asingaperi.
172d1200d9	Nokuti zvanzi naJehovha, iye akasika matenga, ndiye Mwari; iye akaumba uye akaita nyika, ndiye akaisimbisa; haana kuisikira kuti igare isina chinhu, asi akaiumba kuti igarwe, anoti: “Ndini Jehovha, uye hakuna mumwe.
172d1300b4	Handina kutaura ndiri pakavanda, ndichibva kumwe kunyika yerima; handina kuti kuvana vaJakobho, ‘Nditsvakei pasina.’ Ini, Jehovha ndinotaura chokwadi; ndinoparidza zvakarurama.
172d1400af	“Unganai pamwe chete muuye; unganai, imi vatizi vanobva kune dzimwe ndudzi. Vose vanotakura mifananidzo yamatanda havazivi, vanonyengetera kuna vamwari vasingagoni kuponesa.
172d1500ef	Paridzai zvichauya, muzvibudise pachena: ngavarangane pamwe chete. Ndianiko akazvitaura kare, ndiani akazvireva kubva kare nakare? Handizini Jehovha here? Uye kunze kwangu ini hakuna Mwari, Mwari akarurama noMuponesi; hakuna mumwe asi ini.
172d160060	“Dzokerai kwandiri mugoponeswa, imi mose migumo yenyika; nokuti ndini Mwari, uye hakuna mumwe.
172d17009c	Ndakapika neni pachangu, muromo wangu wakataura nokururama kwose shoko risingazoshandurwi: Mabvi ose achapfugama pamberi pangu; ndimi dzose dzichapika neni.
172d180088	Vachati pamusoro pangu, ‘Muna Jehovha chete ndimo muno kururama nesimba.’” Vose vakamutsamwira vachauya kwaari uye vachanyadziswa.
172d19004f	Asi rudzi rwose rwaIsraeri ruchawanikwa rwakarurama muna Jehovha uye ruchafara.
172e0100b2	Bheri rinokotamira pasi, Nebho rinokotama; zvifananidzo zvavo zvinotakurwa nezvipfuwo zvinotakura mutoro. Zvifananidzo zvacho zvinotakurwa zvinorema, mutoro pazvipfuwo zvakaneta.
172e02006e	Zvinokotama uye zvinokotamira pasi pamwe chete; zvisingagoni kurwira mutoro, izvo pachazvo zvinoenda kuutapwa.
172e0300a0	“Ndinzwei, imi imba yaJakobho, imi mose vakasara veimba yaIsraeri, imi vandakasimudzira kubvira muchiri mudumbu, uye ndikakutakurai kubvira pakuzvarwa kwenyu.
172e0400a3	Kunyange kusvikira pakuchembera kwenyu, bvudzi rachena, ndini iye, ndini ndichakururamisai. Ndakakuitai uye ndichakutakurai; ndichakuraramisai uye ndichakununurai.
172e05006a	“Mungandienzanisa naaniko kana kunditi ndakaita saani? Mungandifananidza naaniko wandingaenzaniswa naye?
172e060096	Vamwe vanodurura goridhe kubva muhomwe dzavo, uye vanoyera sirivha pazviyero; vanotsvaka mupfuri kuti avaitire chimwari, vagopfugama kuti vachinamate.
172e0700e5	Vanochisimudzira pamapfudzi avo vagochitakura; vanochigadzika panzvimbo yacho, uye hecho chomira, hachigoni kufamba kuti chibvepo. Kunyange mumwe akadanidzira kwachiri, hachipinduri; hachigoni kumuponesa kubva pamatambudziko ake.
172e080059	“Rangarirai chinhu ichi, muchiise mupfungwa dzenyu, muise pamwoyo yenyu, imi vapanduki.
172e090071	Rangarirai zvinhu zvakare, zviya zvekare kare; ndini Mwari, uye hakuna mumwe; ndini Mwari, hakuna akafanana neni.
172e0a0097	Ndinozivisa magumo kubva pakutanga, kubva panguva yekare kare, izvo zvichiri kuuya. Ndinoti: Zvandakaronga zvichaitika, uye ndichaita zvose zvandinoda.
172e0b00aa	Kubva kumabvazuva ndinodana gondo; kubva kunyika iri kure kure ndinodana munhu achazadzisa kuda kwangu. Zvandakareva ndichaita kuti zviitike; zvandakaronga, ndichazviita.
172e0c0046	Nditeererei, imi vane mwoyo yakasindimara, iyemi muri kure nokururama.
172e0d0093	Ndiri kuswededza pedyo kururama kwangu, hakusi kure; uye ruponeso rwangu haruzononotswi. Ndichapa ruponeso kuZioni, nokubwinya kwangu kuna Israeri.
172f0100a0	“Buruka, ugare muguruva, iwe Mhandara yeBhabhironi; gara pasi usina chigaro choushe, iwe Mhandara yavaBhabhironi. Hauchazonzi uri munyoro kana munhu akapfava.
172f020061	Tora makuyo ukuye upfu; bvisa vhoiri rako. Fukura nguo dzako, makumbo ako aonekwe, uyambuke hova.
172f030062	Kushama kwako kuchava pachena, uye kunyadzwa kwako kuchaonekwa. Ndichatsiva; handizosiyi munhu.”
172f040052	Mudzikinuri wedu, Jehovha Wamasimba Ose ndiro zita rake; ndiye Mutsvene waIsraeri.
172f050067	Gara unyerere, enda murima, Mhandara yavaBhabhironi; hauchazonzi mambokadzi wenyika dzakasiyana-siyana.
172f06009e	Ndakatsamwira vanhu vangu ndikasvibisa nhaka yangu; ndakavapa muruoko rwako, iwe ukasavanzwira ngoni. Kunyange vakakwegura wakavatakudza joko rinorema kwazvo.
172f07007f	Wakati, “Ndicharamba ndiri mambokadzi nokusingaperi!” Asi hauna kufunga zvinhu izvi, kana kucherechedza zvaizogona kuitika.
172f0800d3	Naizvozvo zvino, chinzwa, iwe chisikwa chisingagutsikani, ugere zvakachengetedzeka, uchiti, mumwoyo mako, “Ndini, hakuna mumwe kunze kwangu. Handizovi chirikadzi, uye handizotambudziki nokurasikirwa navana.”
172f0900db	Zviviri izvozvi zvichakuwira nechinguva chidiki diki, pazuva rimwe chete zvinoti: kufirwa navana nouchirikadzi. Zvichauya pamusoro pako nechiyero chizere, kunyange uine unʼanga hwako huzhinji, nouroyi hwako hwakawanda.
172f0a00ab	Wakavimba nezvakaipa zvako uye wakati, “Hapana anondiona.” Uchenjeri hwako nezivo yako zvinokutsausa paunoti, mumwoyo mako, “Ndini, uye hakuna mumwe kunze kwangu.”
172f0b00b5	Dambudziko richakuwira, uye haugoni kuzoziva kuti ungaritanda sei. Njodzi ichakuwira yausingagoni kubvisa nomuripo; pakarepo kuparadza kwausingagoni kuziva, kuchawira pamusoro pako.
172f0c00a7	“Zvino, enderera hako mberi nouroyi hwako, uye nounʼanga hwako huzhinji, hwawakashandira kubva paudiki hwako. Zvichida uchabudirira, zvichida uchavhundutsira vamwe.
172f0d00c5	Mazano ose awakagamuchira, akakunetesa chete! Vanhu vako vanocherechedza nyeredzi ngavauye mberi, avo vanotarira nyeredzi vachifembera mwedzi nomwedzi, ngavakuponese pane zviri kuuya pamusoro pako.
172f0e00b8	Zvirokwazvo vakafanana namashanga; moto uchaapisa akapera. Havangatongogoni kuzvirwira, pasimba romurazvo womoto. Asi hapana mazimbe okuti munhu adziyirwe; hapana moto wokudziya ipapo.
172f0f00bd	Izvozvi ndizvo chete zvavangakuitira, ava vawakashanda navo, uye ukafamba navo kubva paudiki hwako. Mumwe nomumwe wavo anoenderera mberi nokukanganisa kwake; hapana kana mumwe angakuponesa.
