0100000008	Postanak
18160e007b	Koji govori: Sagradiću sebi veliku kuću i prostrane kleti; i razvaljuje sebi prozore, i oblaže kedrom i maže crvenilom.
18160f007a	Hoćeš li carovati kad se mešaš s kedrom? Otac tvoj nije li jeo i pio? Kad činjaše sud i pravdu, tada mu beše dobro.
181610005d	Davaše pravicu siromahu i ubogome, i beše mu dobro; nije li to poznavati me? Govori Gospod.
181611006f	Ali oči tvoje i srce tvoje idu samo za tvojim dobitkom i da prolivaš krv pravu i da činiš nasilje i krivdu.
18161200b6	Zato ovako veli Gospod za Joakima sina Josije cara Judinog: Neće naricati za njim: Jaoh brate moj! Ili: Jaoh sestro! Neće naricati za njim: Jaoh gospodaru! Ili: Jaoh slavo njegova!
1816130058	Pogrebom magarećim pogrepšće se, izvući će se i baciće se iza vrata jerusalimskih.
181614006e	Iziđi na Livan i viči, i na Vasanu pusti glas svoj, i viči preko brodova, jer se satrše svi koji te ljube.
1816150074	Govorih ti u sreći tvojoj, a ti reče: Neću da slušam; to je put tvoj od detinjstva tvog da ne slušaš glas moj.
1816160082	Sve će pastire tvoje odneti vetar, i koji te ljubi otići će u ropstvo; tada ćeš se posramiti i postideti za svu zloću svoju.
1816170070	Ti sediš na Livanu, gnezdo viješ na kedrima, kako ćeš biti ljupka, kad ti dođu muke i bolovi kao porodilji!
1816180088	Kako sam ja živ, veli Gospod, da bi Honija sin Joakima cara Judinog bio prsten pečatni na desnoj ruci mojoj, i odande ću te otrgnuti.
181619008c	I daću te u ruke onima koji traže dušu tvoju, i u ruke onima kojih se bojiš, u ruke Navuhodonosoru caru vavilonskom i u ruke Haldejcima.
18161a0069	I baciću tebe i mater tvoju koja te je rodila u zemlju tuđu, gde se niste rodili, i onde ćete pomreti.
18161b0048	A u zemlju u koju ćete želeti da se vratite, nećete se vratiti u nju.
18161c009c	Je li taj čovek Honija ništav idol izlomljen? Je li sud u kome nema miline? Zašto biše isterani, on i seme njegovo, i bačeni u zemlju, koje ne poznaju?
18161d002e	O zemljo, zemljo, zemljo! Čuj reč Gospodnju.
18161e00c9	Ovako veli Gospod: Zapišite da će taj čovek biti bez dece i da neće biti srećan do svog veka; i niko neće biti srećan od semena njegovog, koji bi sedeo na prestolu Davidovom i još vladao Judom.
1817010048	Teško pastirima koji potiru i razmeću stado paše moje! Govori Gospod.
18170200bf	Zato ovako veli Gospod Bog Izrailjev za pastire koji pasu narod moj: Vi razmetnuste ovce moje i razagnaste ih, i ne obilaziste ih; evo, ja ću vas obići za zloću dela vaših, govori Gospod.
181703008b	I ostatak ovaca svojih ja ću skupiti iz svih zemalja u koje ih razagnah, i vratiću ih u torove njihove, gde će se naploditi i umnožiti.
1817040073	I postaviću im pastire, koji će ih pasti, da se ne boje više i ne plaše i da ne pogine ni jedna, govori Gospod.
181705008c	Gle, idu dani, govori Gospod, u koje ću podignuti Davidu Klicu pravednu, koja će carovati i biti srećna i činiti sud i pravdu na zemlji.
1817060079	U Njegove dane spašće se Juda, i Izrailj će stanovati u miru, i ovo mu je ime kojim će se zvati: Gospod pravda naša.
181707008f	Zato, evo, idu dani, govori Gospod, u koje se neće više govoriti: Tako da je živ Gospod, koji je izveo sinove Izrailjeve iz zemlje misirske;
18170800a9	nego: Tako da je živ Gospod, koji je izveo i doveo seme doma Izrailjevog iz severne zemlje i iz svih zemalja u koje ih bejah razagnao. I oni će sedeti u svojoj zemlji.
1817090094	Radi proroka puca srce u meni, trepeću sve kosti moje, kao pijan sam i kao čovek koga je osvojilo vino, Gospoda radi i Njegovih radi svetih reči.
18170a0087	Jer je zemlja puna preljubočinaca, i s kletava tuži zemlja, posušiše se paše u pustinji; trk je njihov zao i moć njihova neprava.
18170b0059	Jer i prorok i sveštenik skvrne je, nalazim i u domu svom zloću njihovu, govori Gospod.
18170c0093	Za to će put njihov biti kao klizavica po tami, gde će popuznuti i pasti; jer ću pustiti na njih zlo, godine pohođenja njihovog, govori Gospod.
18170d005f	U proroka samarijskih video sam bezumlje, prorokovahu Valom, prelašćivahu narod moj Izrailja;
18170e00bf	Ali u proroka jerusalimskih vidim strahotu: čine preljubu i hode u laži, ukrepljuju ruke zlikovcima da se niko ne vrati od svoje zloće; svi su mi kao Sodom, i stanovnici njegovi kao Gomor.
18170f00ac	Zato ovako veli Gospod nad vojskama o tim prorocima: Evo, ja ću ih nahraniti pelenom i napojiću ih žuči; jer od proroka jerusalimskih iziđe oskvrnjenje po svoj zemlji.
1817100090	Ovako veli Gospod nad vojskama: Ne slušajte šta govore proroci koji vam prorokuju; varaju vas, govore utvare svog srca, ne iz usta Gospodnjih.
181711008d	Jednako govore onima koji ne mare za me: Gospod je rekao: Imaćete mir; i svakome koji ide po misli srca svog govore: Neće doći na vas zlo.
1817120067	Jer ko je stajao u veću Gospodnjem, i video ili čuo reč Njegovu? Ko je pazio na reč Njegovu i čuo?
181713005f	Evo, vihor Gospodnji, gnev, izići će vihor, koji ne prestaje, pašće na glavu bezbožnicima.
1817140075	Neće se odvratiti gnev Gospodnji dokle ne učini i izvrši šta je u srcu naumio; najposle ćete razumeti to sasvim.
1817150047	Ne slah tih proroka, a oni trčaše; ne govorih im, a oni prorokovaše.
1817160085	Da su stajali u mom veću, tada bi kazivali moje reči narodu mom, i odvraćali bi ih s puta njihovog zlog i od zloće dela njihovih.
1817170041	Jesam li ja Bog iz bliza, govori Gospod, a nisam Bog i iz daleka?
1817180077	Može li se ko sakriti na tajno mesto da ga ja ne vidim? Govori Gospod; ne ispunjam li ja nebo i zemlju? Govori Gospod.
181719005b	Čujem šta govore ti proroci koji u ime moje prorokuju laž govoreći: Snio sam, snio sam.
18171a0056	Dokle će to biti u srcu prorocima koji prorokuju laž, i prevaru srca svog prorokuju?
18171b009c	Koji misle da će učiniti da narod moj zaboravi ime moje uza sne njihove, koje pripovedaju jedan drugom, kao što zaboraviše oci njihovi ime moje uz Vala.
18171c0087	Prorok koji sni, neka pripoveda san; a u koga je reč moja, neka govori reč moju istinito; šta će pleva sa pšenicom? Govori Gospod.
18171d004a	Nije li reč moja kao oganj, govori Gospod, i kao malj koji razbija kamen?
18171e0052	Za to, evo me na te proroke, govori Gospod, koji kradu moje reči jedan od drugog.
18171f004b	Evo me na te proroke, veli Gospod, koji dižu jezik svoj i govore: On veli.
18172000db	Evo me na one koji prorokuju lažne sne, veli Gospod, i pripovedajući ih zavode narod moj lažima svojim i hitrinom svojom; a ja ih nisam poslao niti sam im zapovedio; i neće ništa pomoći tome narodu, govori Gospod.
1817210093	Ako te zapita ovaj narod ili koji prorok ili sveštenik govoreći: Kako je breme Gospodnje? Tada im reci: Kako breme? Ostaviću vas, govori Gospod.
1817220066	A proroka i sveštenika i narod koji reče: Breme Gospodnje, ja ću pokarati tog čoveka i dom njegov.
1817230069	Nego ovako govorite svaki bližnjemu svom i svaki bratu svom: Šta odgovori Gospod? I: Šta reče Gospod?
1817240096	A bremena Gospodnjeg ne pominjite više, jer će svakome biti breme reč njegova, jer izvrćete reči Boga Živoga, Gospoda nad vojskama, Boga našeg.
1817250044	Ovako reci proroku: Šta ti odgovori Gospod? I šta ti reče Gospod?
181726009e	Ali kad kažete: Breme Gospodnje, zato ovako veli Gospod: Šta govorite tu reč: Breme Gospodnje, a ja slah k vama da vam kažu: Ne govorite: Breme Gospodnje,
181727006a	zato evo me, ja ću vas zaboraviti sasvim i odbaciću od sebe vas i grad koji sam dao vama i ocima vašim.
181728004b	I navaliću na vas porugu večnu i sramotu večnu koja se neće zaboraviti.
18180100f1	Pokaza mi Gospod, i gle, dve kotarice smokava nameštene pred crkvom Gospodnjom, pošto Navuhodonosor, car vavilonski, zarobi Jehoniju sina Joakimovog cara Judinog, i knezove Judine, i drvodelje i kovače iz Jerusalima i odvede ih u Vavilon.
1818020099	U jednoj kotarici behu smokve vrlo dobre, kakve behu rane smokve, a u drugoj kotarici behu vrlo rđave smokve, koje se ne mogahu jesti, tako behu rđave.
18180300a1	I reče mi Gospod: Šta vidiš, Jeremija? A ja rekoh: Smokve, jedne dobre smokve, vrlo dobre, a druge rđave, vrlo rđave, koje se ne mogu jesti, tako su rđave.
1818040024	I dođe mi reč Gospodnja govoreći:
1818050094	Ovako veli Gospod Bog Izrailjev: Kakve su te smokve dobre, tako će mi biti dobra radi roblje Judino, koje odaslah iz ovog mesta u zemlju haldejsku.
1818060095	I obratiću oči svoje na njih dobra radi, i dovešću ih opet u ovu zemlju, i sazidaću ih i neću ih razoriti, i nasadiću ih i neću ih počupati.
1818070089	Jer ću im dati srce da me poznaju da sam ja Gospod, i biće mi narod i ja ću im biti Bog, jer će se obratiti k meni svim srcem svojim.
18180800df	A kakve su te rđave smokve da se ne mogu jesti, kako su rđave, takvim ću, veli Gospod, učiniti Sedekiju cara Judinog i knezove njegove i ostatak Jerusalimljana koji ostaše u ovoj zemlji i koji žive u zemlji misirskoj.
1818090086	Učiniću da se potucaju po svim carstvima zemaljskim na zlo, da budu sramota i priča i rug i uklin po svim mestima, kuda ih raselim.
18180a006a	I poslaću na njih mač, glad i pomor, dokle se ne istrebe sa zemlje, koju sam dao njima i ocima njihovim.
1819010095	Reč koja dođe Jeremiji za sav narod Judin četvrte godine Joakima sina Josijinog cara Judinog, a to je prva godina Navuhodonosora cara vavilonskog,
181902005d	koju reče Jeremija prorok svemu narodu Judinom i svim stanovnicima jerusalimskim, govoreći:
18190300a8	Od trinaeste godine Josije sina Amonovog cara Judinog do danas, za ove dvadeset i tri godine, dolazi mi reč Gospodnja i govorih vam zarana jednako, ali ne poslušaste.
1819040074	I sla vam Gospod sve sluge svoje proroke zarana jednako, ali ne poslušaste, niti prignuste uha svog da biste čuli.
1819050096	I govorahu: Vratite se svaki sa svog puta zlog i od zloće dela svojih, pa ćete ostati u zemlji koju dade Gospod vama i ocima vašim od veka do veka.
181906007d	I ne idite za drugim bogovima da im služite i da im se klanjate i ne gnevite me delom ruku svojih, i neću vam učiniti zla.
1819070056	Ali me ne poslušaste, govori Gospod, nego me gneviste delom ruku svojih na svoje zlo.
1819080045	Za to ovako veli Gospod nad vojskama: Što ne poslušaste moje reči,
18190900ff	evo, ja ću poslati po sve narode severne, govori Gospod, i po Navuhodonosora cara vavilonskog slugu svog, i dovešću ih na tu zemlju i na stanovnike njene, i na sve te narode okolne, koje ću zatrti, i učiniću da budu čudo i podsmeh i pustoš večna.
18190a0085	I učiniću da nestane među njima glas radostan i glas veseo, glas ženikov i glas nevestin, lupa od žrvanja i svetlost od žiška.
18190b0066	I sva će ta zemlja biti pustoš i čudo, i ti će narodi služiti caru vavilonskom sedamdeset godina.
18190c00ae	A kad se navrši sedamdeset godina, onda ću pohoditi cara vavilonskog i onaj narod, govori Gospod, za bezakonje njihovo, i zemlju haldejsku, i obratiću je u pustoš večnu.
18190d007f	I pustiću na tu zemlju sve što sam govorio o njoj, sve što je napisano u ovoj knjizi, što prorokova Jeremija za sve narode.
18190e0085	Jer će veliki narodi i silni carevi i njih pokoriti; tada ću im platiti po delima njihovim i po onom što su činili rukama svojim.
18190f0088	Jer ovako mi reče Gospod Bog Izrailjev: Uzmi iz moje ruke čašu vina, ovog gneva, i napoj iz nje sve narode ka kojima te ja pošaljem.
181910004e	Neka piju i smetu se i polude od oštrog mača koji ću ja poslati među njih.
1819110052	I uzeh čašu iz ruke Gospodu, i napojih sve te narode, ka kojima me posla Gospod:
181912007c	Jerusalim i gradove Judine i careve njegove i knezove njegove, da budu pustoš i čudo i podsmeh i uklin, kao što je danas,
181913004c	Faraona cara misirskog i sluge njegove i knezove njegove i sav narod njegov,
1819140076	i svu mešavinu, i sve careve zemlje Uza, sve careve zemlje filistejske, i Askalon i Gazu i Akaron i ostatak od Azota,
1819150021	Edomce i Moavce i sinove Amonove,
181916004a	i sve careve tirske i sve careve sidonske i careve na ostrvima preko mora,
1819170034	Dedana i Temu i Vuza, i sve koji se s kraja strižu,
1819180045	i sve careve arapske i sve careve od mešavine koji žive u pustinji,
1819190042	i sve careve zimrijske, i sve careve elamske, i sve careve midske,
18191a009a	i sve careve severne, koji su blizu i koji su daleko, kako jednog tako drugog, i sva carstva zemaljska što su po zemlji; a car sisaški piće posle njih.
18191b0094	I reci im: Ovako veli Gospod nad vojskama Bog Izrailjev: Pijte i opijte se, i bljujte i padajte, da ne ustanete od mača koji ću pustiti među vas.
18191c0077	Ako li ne bi hteli uzeti čašu iz ruke tvoje da piju, tada im reci: Ovako veli Gospod nad vojskama: Zaista ćete piti.
18191d00c9	Jer evo počinjem puštati zlo na grad koji se naziva mojim imenom, a vi li ćete ostati bez kara? Nećete ostati bez kara, jer ću dozvati mač na sve stanovnike zemaljske, govori Gospod nad vojskama.
18191e00e1	Ti dakle prorokuj im sve ove reči i reci im: Gospod će s visine riknuti, i iz stana svetinje svoje pustiće glas svoj, silno će riknuti iz stana svog, kao oni što gaze grožđe podignuće viku na sve stanovnike zemaljske.
18191f008a	Proći će graja do kraja zemlje, jer raspru ima Gospod s narodima, sudi se sa svakim telom, bezbožnike će dati pod mač, govori Gospod.
1819200081	Ovako veli Gospod nad vojskama: Evo, nevolja će poći od naroda do naroda, i velik će se vihor podignuti od krajeva zemaljskih.
1819210090	I u onaj će dan biti od kraja do kraja zemlje pobijeni od Gospoda, neće biti oplakani, niti će se pokupiti i pogrepsti, biće gnoj po zemlji.
18192200a3	Ridajte, pastiri, i vičite i valjajte se po prahu, glavari stadu, jer se navršiše vaši dani da budete poklani, i da se razaspete, i pašćete kao skupocen sud.
1819230045	I neće biti utočišta pastirima, ni izbavljenja glavarima od stada.
1819240050	Vikaće pastiri i ridaće glavari od stada, jer će potrti Gospod pašu njihovu.
181925003b	I razvaliće se mirni torovi od žestokog gneva Gospodnjeg.
1819260076	Kao lavić ostavio je šator svoj, jer će zemlja njihova opusteti od žestine nasilnikove i od ljutog gneva njegovog.
181a010060	U početku carovanja Joakima, sina Josijinog, cara Judinog, dođe ova reč od Gospoda govoreći:
181a0200c2	Ovako govori Gospod: Stani u tremu doma Gospodnjeg, i govori svim gradovima Judinim, koji dolaze da se poklone u domu Gospodnjem, sve reči koje ti zapovedam da im kažeš, ne izostavi ni reči,
181a030082	ne bi li poslušali i vratili se svaki sa svog zlog puta, da mi se sažali sa zla koje im mislim učiniti za zloću dela njihovih.
181a040067	Reci im dakle: Ovako veli Gospod: ako me ne poslušate da hodite u mom zakonu koji sam stavio pred vas,
181a050069	da slušate reči sluga mojih proroka, koje vam šaljem, koje slah zarana jednako, ali ih ne poslušaste,
181a06005f	učiniću s domom ovim kao sa Silomom, i grad ovaj daću u prokletstvo svim narodima na zemlji.
181a07005a	A sveštenici i proroci i sav narod čuše Jeremiju gde govori te reči u domu Gospodnjem.
181a080091	I kad Jeremija izgovori sve što mu Gospod zapovedi da kaže svemu narodu, uhvatiše ga sveštenici i proroci i sav narod govoreći: Poginućeš.
181a0900b2	Zašto prorokova u ime Gospodnje govoreći: Ovaj će dom biti kao Silom, i ovaj će grad opusteti da neće u njemu niko živeti? I skupi se sav narod na Jeremiju u dom Gospodnji.
181a0a006a	A knezovi Judini čuvši to dođoše iz doma carskog u dom Gospodnji, i sedoše pred nova vrata Gospodnja.
181a0b00a2	I rekoše sveštenici i proroci knezovima i svemu narodu govoreći: Ovaj je čovek zaslužio smrt, jer prorokova protiv ovog grada, kao što čuste svojim ušima.
181a0c0094	Tada progovori Jeremija svim knezovima i svemu narodu govoreći: Gospod me posla da prorokujem protiv ovog doma i protiv ovog grada sve što čuste.
181a0d0086	Zato popravite puteve svoje i dela svoja, i poslušajte reč Gospoda Boga svog, i sažaliće se Gospodu sa zla koje je izrekao za vas.
181a0e0050	A ja, evo sam u vašim rukama, činite od mene šta mislite da je dobro i pravo.
181a0f00ad	Ali znajte zacelo, ako me ubijete, krv pravu svalićete na se i na ovaj grad i na stanovnike njegove, jer doista Gospod me posla k vama da govorim sve ove reči, da čujete.
181a10008a	Tada rekoše knezovi i sav narod sveštenicima i prorocima: Nije ovaj čovek zaslužio smrt, jer nam je govorio u ime Gospoda Boga našeg.
181a110057	I ustaše neki od starešina zemaljskih, i progovoriše svemu zboru narodnom i rekoše:
181a1200eb	Mihej Morašćanin prorokova u vreme Jezekije, cara Judinog, i govori svemu narodu Judinom i reče: Ovako veli Gospod nad vojskama: Sion će se preorati kao njiva i grad će Jerusalim biti gomila kamenja, i gora ovog doma visoka šuma.
