2900000006	Markus
2c131000a7	Nifi nak tǝ ɓǝɓishemeɗɗǝ fiyu pǝrkǝnna ɗarnanda, sherangna kandǝ tǝ alchita, cheknda kissha hurikǝn tǝ wesha tamkwal tamkwal paɗ ɓǝskǝndǝ ndindicha.
2c13110092	Fichile nak tǝ sokta a Afisa, Yahudawecha tǝ punofcha, kǝ sǝktǝndǝ i sǝkyu kǝsang lechit kandǝ nat, mwanang ndǝ thlǝm Lǝmwandǝ Yǝso.
2c1312004e	Oi a hur yuwa fafǝrkit, ɓaknda nata mbu ɓǝɓi ɗǝssǝcheng nanda tallara.
2c131300c6	Nofchǝ oi fa kulecha ɓakndǝ tǝ ɗelwercheng nanda, 'yangndaɗaɗi a mbanitǝ nofchǝ uf, kǝ sakandǝndǝ hanɗǝɓǝl ɗelwerchi ikkaɗi, mbǝssang ndǝwa a shee azurfa aru kumchit kum ɗurman.
2c13140038	Shunda Lǝmwanda nakna ɗǝta mban tǝ alchitafǝ kaǝn.
2c131500ae	Ɗiffitǝ ichini sǝknatyu, Bulus yarkǝnna hanɗǝkiketi'enwa niɗǝttǝ Makidoniya, tǝ Akaya ka cheta Urshelima, ndakǝnwa ma ɗiɗi mbǝnniyu waat kǝ ɗi hǝmmǝt Roma."
2c13160082	Thlǝnkǝn funǝ chap hur fa kǝssa torchǝsi, nda Timoti tǝ Arastus, kǝ Makidoniya, mǝllan thlarkǝnhi a hǝmmǝt Asiya tolla.
2c13170054	A hanmunchiniyu thlakkǝ kapat thla hur'i'nda, kǝ ɗar pathlǝ fa tǝrmbanda Yǝso.
2c131800cc	Thla hur'inkǝn ɓakǝn tǝ mbǝɗa lǝ ɓǝlta, le nat thlǝmkǝnwa Dimitiriyus, lelǝ sǝk tor tǝ hurita, kǝnna ɓǝl kǝtǝn ɗǝhhacha Artemis. Lanakna mbǝssa hanɗǝɓǝlta fa torharkǝnsǝ kaǝn.
2c13190088	A ngomaǝn kandǝ nat tǝ fichile nat witǝ torhareng nandǝ ǝrta, ndakǝnwa: "Nofcha, ashinuniwa tǝ tori engnaniya mbǝsti kǝnnecha.
2c131a00b3	Kuna nata kuna sǝkta nga Afisa ɗengwa nat tǝ Asiya, Bulus kahhaɗǝ hur'i'nda nofchǝ oi, paɗ tǝɓrandǝ nofchihi oi, tǝ ndatwa ɗǝhachi lǝ tintuni tǝ harcha nga Farǝwa.
2c131b00fb	Mbǝrramsi mborro ɓata naficha sǝɓandǝ thlǝm torengnǝmmaɗi. Ɗiffitǝ ndǝkǝn paɗ tǝ kǝttǝn nuhɗahata kapat alliya a Artemis, nan soktǝ nga ǝnwa, paɗ nan saktǝhi tǝ mwandǝ'en, mǝllan ti lamwanandǝ hǝmmǝt Asiya tǝ kishitǝ nat."
2c131c0074	Kǝ sǝktǝndǝkichu sǝɓkǝ hurcheng nandaɗi, naknda hwat tǝ ndatwa: "A shok kapat mwanda Artemis a Afisawecha!"
2c131d0093	Nǝhǝɗkǝ hǝmǝtkǝnaɗǝ tǝ sheka i'nda, rahkǝndǝ kǝ mbǝt terǝkǝn, kǝssangndǝ Gayus tǝ Aristarkus, shikechǝ wita Bulus a Makidoniya.
2c131e003f	Yeh Bulus si kǝ yimka hur nofchǝkǝn, ngǝmauchik fa fǝrkit.
2c131f006e	Kuturchǝsa Asiya naka shikechǝkǝn, thlǝnangndǝ shundǝ tǝ ndatwa, mǝ ɓahiɗa yimta hur nofchi oi yuwa.
2c132000a7	Yakat nofchi ngomkǝhiyu, kanda hur sheka'i'nda, kǝthlǝm shekndǝhi, funǝ tǝ mbǝɗyu funǝ paɗ tǝ mbǝɗya, sokkǝn terchin fichile sǝnuchik i humang kandǝhi.
2c1321008d	Funǝ Yahudawechǝsi pǝkkǝndǝ Alekzanda mban. Mǝlan paɗ thla'a'ǝn hara kǝthlǝm kǝ ngasfichǝ ɓa, mbah nan mbwa'anda kandǝ i sǝka.
2c13220096	Kǝ mbǝssandǝndǝwa lǝ Yahudawat nakǝn, hanthlikchǝ chap ufndǝ kanda hwata, tǝ kapat ɓurata ndatwa: "Kapat mwanda Artemis a shoka Afisawecha!"
2c132300d5	A mweshitkǝn, lǝ yaratkǝnna hǝmǝtkǝn ngassaǝn nofchihiyu, ndakǝnwa: "Kunang Afisawecha, wun sǝnuchikwa hǝmmǝt Afisa naka hǝrǝm kǝttǝn ɗǝhhacha kapat Artemis, tǝ kweshcha ngwiyi hǝmka haya afshi?
2c13240060	Nda i natǝm ichiniyu, kamusi kǝ halǝm i'ndǝwa, kamkǝnsi kǝ ngassuni ɓa mǝ wesshiɗuniwa.
2c1325008b	Ɓakuni tǝ nofchiya ɓǝɗya, chika sokkǝn herkunda kǝtǝn ɗǝhhachengnǝm, ndu kǝ mbundǝ ɓǝɓi'ǝn kǝ ɗar nuhɗǝhhachengnǝmwa.
2c132600a4	Ma Dimitiriyus tǝ shikechǝkǝn tǝ fa sǝt torchi'en, ma ǝnsa thlerǝnandǝ tǝ yuna, a i'nafichǝ kǝtǝn sakmichǝhi, paɗ fa sakmikǝnsi ɗǝknda muh hanhara.
2c13270050	Ma ǝnsǝ yahtunisa ɓattǝkǝn kǝ mban, ɗǝk ma mweshanda mbanitǝ pǝktecha.
2c1328008a	Kittǝkǝn kǝmna hur lechit ngǝm muhhanhar thlahur inni ɓukweya, kǝthlǝm ngǝma mbǝlla mbu i ɓaktǝ thlahuri'ndǝ kǝ ɗarnandǝwa.
2c1329002b	Kǝ mbutǝn ichiniyu kalkǝn nofchǝkǝnhi.
2c140100a2	Kǝ tuɓwat thlahur'i'nda, Bulus akǝn fafǝrkit, chekaǝn alchita kanda hur hanɗǝkiketa, ɗǝkǝn ndandǝnakandǝwa sefarǝyuna, pǝɗakna hǝmmǝt Makidoniya.
2c1402005a	Kǝ wiyandǝn thlet hǝmchikǝn, chekaǝn alchita fafǝrkit kaǝn, ɓakna hǝmmǝt Hellas.
2c140300b0	Sǝkǝn ndǝraa mǝkkana mbǝnniyu, nakna harǝfa kǝ pǝɗaka Suriya a hur kombawal, nak Yahudawecha yaraa ɓǝɓi'ichafa. Ndǝkǝn yartǝnwa nan ngǝrandǝ in tǝ Makidoniya.
2c140400bd	Nofchi ɗǝfkǝ Bulus nda: Sufata hweya Farus lǝ Biriyata, tǝ Aristarkus tǝ Sakundus, Nofcha Tassalonika, tǝ Gayus nangna Darbe, tǝ Timoti, nat tǝ Tikikus tǝ Tarofimus, nofcha Asiya.
2c14050034	Fichile lak pǝɗata ɓan puukǝndǝ kani a Toruwas.
2c140600ad	Kanang paɗ malkani Filibihi yimkani kommbawal, ɗiffitǝ chi njohmi nguchit mehndǝsa fi'en, hur mundǝ ɗurman ndǝkani mbǝskanda a Toruwas sokkani ɓǝnniyu mundǝ muɗ.
2c140700c8	Tǝrka mundǝmuɗ ngomkani uf kǝthlǝm kǝ chichangani njohmǝhi. Thlaakǝ Bulus ɓassangna kandǝsi. Nakna harǝfǝ kǝthlǝm yehsa pǝɗata ɓingǝtkǝn, nakna ɓassǝ toltol taa kǝ ɗar fiɗikta.
2c14080032	A kǝtǝni ngomtani a huri afshi tikkeshchisǝ oi.
2c140900d5	Hwan kimshaasi thlǝmkǝnwa Aftikos sokkǝn ɗassa tinkummbata, kǝssang ɓweni kaǝn. Bulussa ɗar ɓassǝ toltol yimkǝna ɓweni kasat, hǝmkǝnnahaya mǝkkatǝ tǝrkǝtǝnkǝn, tǝrkǝ fichiɗǝ kǝ murǝtkǝn.
2c140a0096	Tǝrkǝ Bulussa haya kǝ ɓǝɗi nat hwaniyu, ɓirkǝnhi ɗarkǝn tǝrkǝnnda kapahɓa ndakǝnwa: "Mǝ thla'i hur'i'ɗengnuniwa mwe tǝ shisshingtafa.
2c140b007b	Ngǝrang Bulus inna huri afshi ɗǝkna chichandǝ njohmǝhi chiikǝn. Nakna shundǝ tǝkanda kǝ wenda ɓǝta kanapǝɗata.
2c140c0042	Pǝɗakndǝ tǝ kimshi'iyu tǝ shisshingtafa nangnda kwalǝ kaǝn.
2c140d0096	Kǝ natani sa'a'ndǝ kommbawal, yimkanisi kǝ Asus kǝthlǝm kǝ tǝrrani Bulussa mbǝnniyu nda i tahsandǝnhi, mǝllan yarkǝnwa tǝsar natna ɗǝta.
2c140e004c	Kǝ ɓatna mbǝskani a Asus, tǝrkaninda hur kommbawal ɗǝkani kǝ Mitilin.
2c140f0094	Thlaakani ɓǝnniyu ɓingǝtle a hur kommbawal ɓakani kǝllari Kiyos. Iskichitkǝn changani kǝ Samas ɗiffitǝ mundǝ ǝrtǝ paɗ saakani Miletus.
2c141000a0	Tǝrkǝ Bulus hurwa ngu thlarǝhi Afisa wa, kǝthlǝm mǝ sǝɓɓaɗǝ han thlikchaɗa Asiya wa. Mǝlla weshi kǝ saaka Urshelima ma mbandǝsi a farǝ Pentikos.
2c14110060	A Militus thlǝntǝ Bulus, kǝ Afisa kǝ ang fichǝ pǝktecha, mbǝt hwanda kǝ ɓanda mbǝsndi.
2c141200a7	Kǝ ɓatnda mbǝsndi ndangnakandǝwa: "Kunang tǝ inchengnuni a shinuni witǝ soki sokti tǝkuni, i'sǝka para njang tǝ kuni, thlata fari ɗǝfti sarengnǝ kǝ Asiya.
2c1413006b	Nja sa tor Lǝmwanda tǝ amtita tǝ ɓahmwa'i'nda tǝ ɓahhi satti tǝmbǝɗa ɓǝɓi yarǝcha Yahudawecha.
2c1414008e	A malawi mbwa'a i'chakuni le na kǝssanda kunisǝwa, paɗ lanaki sakandakunihar a hur nofcha ɓuɓwetǝfǝwa, tǝ paɗ la yimkǝ huraa hura'a.
2c1415008c	Kahhaɗi hur'i'nda Yahudawecha tǝ punofcha kǝ tǝrndǝhi mbanitǝ Fara, paɗ kǝ fǝrndǝ kit kǝ mbǝɗa Lǝmwaɗengnǝm Yǝso Kǝrǝsti.
2c14160066	Nakǝnya ɗǝki Urshelima tǝ ɓǝɗa alchita Shemeɗ Chiɗchiɗ. Paɗ sinwi'i'na kǝsnja mbǝnniyuwa,
2c14170068	A nakǝn cheɗi Chiɗchiɗtǝ Shemeɗwa, i'sǝka hǝmta na pursunachita natsi, tǝ ɓahta le naka punji.
2c141800cf	Chika tǝ kichu tǝrwi shisshintengnǝ nda ǝn ndiichinwa, ndu kapat ǝnkǝ fandengnǝwa, mani mbǝlla tuɓwandǝ tori fǝritǝ Lǝmwandǝ Yǝso, le naka ɓassǝ kweshcha kusheng shunda kǝ ɗar kafata Fara.
2c14190070	Nakǝnya a shiniwa ngusa hurnuni na ngǝrnatnjuwa, kunangti wiiyaandi kuni kǝni ɓassa kuturichita Fara kunisi.
2c141a0050	Tǝpaɗ nja sǝnnanda kunisi ɓukweya, mwa'u fwara yunengnunisa ɗar indengnuwa,
2c141b003c	Kǝthlǝm a sǝkwi lǝklǝkchit mbwa'a yaara Farakuni natwa.
2c141c00d5	Mbǝramsa inchengnuni, tǝpaɗ uf chaɓi ɗǝftǝ Chiɗchiɗchita Shemeɗ kuni, kǝnuni fa putǝhar kǝ ɗuni mban tǝ hǝrǝm nofcha, fa kuwur mbanda Fara, fichile mbǝssandǝna i'ndi'en tǝ mbǝɗa fwara hwe'en.
2c141d006d	A shini tǝ ndatwa ma pǝɗeɗi funǝ ɓǝɓi nofcha nanda yimta hurnuni, paɗ ngunda malandǝ chaɓǝkǝnwa.
2c141e007a	Tǝpaɗ funa hurnuni nanda thlata kǝnnda shuwun lekta, kǝthlǝm kǝ kahangndǝ fa kuwur mbanda Fara kǝ thlǝmmantnanda.
2c141f008b	Kǝthlǝm ɗǝkǝn sokam tǝ tahhasǝffa, kǝ kuɗkuni, hurat mǝkkan fiɗiktǝsǝwa farǝsǝwa, mallawi mbwa'anda kuni natuni tǝ amtitwa.
2c142000a2	Nakǝnya njang firi kuni ɓǝɗa Fara, paɗ tǝ shuwun kafat'en, le na mbǝlla tinandǝkuni, paɗ kǝ fǝrangka kuni i tahsandǝnhi nat tǝ fichile nakchiɗchiɗ.
2c14210031	A yahwi zinariya ndu azurfa ndu njelecha yunǝwa.
2c1422008b	Kunang tǝ inchengnuni a shinuniwa a shiɗi tor tǝ harchi'engnǝya kǝthlǝm kǝ kwanayi indengnǝ i'yahtǝn tǝ fichile naka thlǝmmatna.
2c142300f9	A hur ichi nat cheɗaɗi sakǝtkǝnakuni tǝ ndatwa, sokkǝn waat kǝsuni tor kicheya kǝthlǝm kǝ kǝssangnguni fichilesi nguchik tǝ alchitafa, kǝnuni kuɗuk pathla Lǝmwandǝ Yǝso mǝllanti ndakwa: "Fǝr'ǝnna pǝɗaɗa thlǝthi tǝ mbǝsta.'"
2c14240044	Kǝ mweshandǝ Bulus mbutǝkichu, kopkǝnhi hwakǝn nat tǝ kandang.
2c14250045	Mǝrkǝndǝhi tit ufnda, hǝmmangndafa kǝskǝndǝndǝhar i saktǝhi.
2c1426007e	Nakndǝ tǝ sǝɓhura, kǝthlǝm shuni ndandǝnakandǝwa ngundangǝrnatndǝwa, thlaakǝnda ɗǝfkǝndǝndi kǝmbǝt kommbawal.
2c1501008e	Kǝ maltanikandǝhi, yimkani hur kommbawaltǝkǝn pǝɗakani kǝ Kos, wendambǝt paɗ ɗǝkani kǝ Rodes, thlaakani mbǝnniyu paɗ kǝ Fatara.
2c1502004a	Kǝ mbǝstani kommbawalti na ɗǝtǝ furut Finikiya, yimkanisi pǝɗakani.
2c150300c3	Kǝ tǝrkaatani nat Sayifurus, malkanihi tǝ kukun hishingta, ɗǝkaniɓan tǝ pǝɗata hǝmmǝt Suriya. Tǝrkanihaya a Taya, kǝthlǝm a mbǝnniyu nat kommbawaltǝkǝnna harandǝ ichi'enna haya.
2c15040075	Kǝ mbǝstani fafǝrkit, sokkanihi mbǝnniyu mundǝmuɗ. Tǝ mbǝɗa shemeɗa ndangnda Buluswa mǝɗiɗa Urshelimawa.
2c150500bc	Tǝ kichu kǝ saatǝ munchi natani thlata, kǝnkanihursǝ tǝ wita. Thlaakǝnndǝ ufnda tǝ nishcha tǝ hwecha ɗǝfkǝndǝ kani kǝ ɗǝffitǝ hǝmta, mbǝnniyu kopkanihi mi ama hwankani,
2c15060059	kanani saktǝhi tǝkanda. Kanani yimta hur kommbawal, kandang paɗ ngǝrangndǝ'ina huri.
2c1507007a	Kǝ tuɓwandani witengnani a Taya, saakani kǝ Tolemayis, ndangani ǝnna fahchǝnani, sǝkani mundǝ ǝrta mbǝɗengnanda.
2c15080086	Wembǝtle thlaakani ɗǝkani kǝ Kaisariya, yimkani kǝ hura'a Filibus lǝ ɓassa, le nak ǝrta a hur fichile muɗ taatǝ fichǝharyu.
2c1509004d	Hwechǝ'ensi fwaɗa kǝ hantarcha ngwanauchit fichǝkanda, lanaknda mbu'icha.
2c150a0067	Ɗiffitǝ sǝt hanmuncha mbǝnniyu, ɓak yunǝ lenaka tapǝna'a nat thlǝmkǝnwa Agabus nakna Yahudiya.
2c150b0114	Kǝ ɓat Agabussa thlǝmmatnani, tǝrkǝn sahǝt kǝnhura Bulus. Ndǝkǝn kǝnandǝn harchi'en, tǝ sarǝchi'en ndakǝnwa: "A i'ndat Chiɗchiɗ tǝ Shemeɗkǝnya, 'kichu Yahundawecha Urshelima, nanda kǝnandǝ lǝ sahǝt kǝnhuriya, paɗ kǝ fǝrndǝndi kǝ mbǝɗa punofcha."
2c150c005e	Kǝ sǝktani kichu, kanang tǝ nofchi naka mbǝnniyu, hwanangani Bulus mǝ ɗiɗa Urshelimawa.
2c150d00e5	Ngǝmmang Bulus ndakǝnwa, "Kǝthlǝmmi natuni sǝtkichu? Kǝthlǝmmi natuni tita kǝnuni sǝɓandǝ hanɗǝkiketengnaɗi? A tehshifa nga kǝnitǝ ɗengwama, ndu kǝ ɓǝllikǝficha a Urshelima kǝthlǝm thlǝm Lǝmwandǝ Yǝso."
2c150e006a	Mbǝla'uchikani tǝɓrandǝ yarǝ'enhiyu, ngaskani ɓa, ndakaniwa: "Suku sakta Lǝmwanda kǝ nǝhɗǝnhi."
2c150f0038	Ɗiffitǝ munchǝkǝn tahǝskanifa pǝɗakani Urshelima.
2c151000bb	Funǝ fafǝrkitsa Kaisariya ɗǝfkǝ kani, ɗǝkndǝ tǝ kani mbǝɗa Manason lenatani tǝrtahaya mbǝt'en, nifǝkǝn lǝ Sayifurustǝ nakǝn, nakǝn ǝrta a hur fafǝrkitti tǝrkakǝnyu.
2c15110041	Kǝ ɓatani Urshelima, thlǝk fahchǝnanikani tǝ mbǝnfat kaǝn.
2c15120059	Wendambǝta pǝɗakani tǝ Bulus kǝ mbǝɗa Yakubu, pǝktecha fafǝrkit kanda mbǝnniyu.
2c1513007f	Ɗiffitǝ nda ichakanda, ndǝkǝn mbwa'andǝna kandǝ ǝrtǝ ǝrtǝ ichi sǝt Fara a hur punofcha, tǝ mbǝɗa tori sǝt Bulus.
2c151400ac	Kǝ sǝktǝndǝ kichu, mwanangndǝ Fara. Ndangnda Buluswa, "Neɗnǝwa hwanmanani, terǝ nofchǝ oi a hur Yahudawecha firndǝ kit, ufndǝ fa sǝrǝh kuwur kussa Musa naknda.
2c151500de	A mbwa'a fichǝ kushengwa kandǝ ndatwa, sokǝn lasakagnga Yahudawechihar uf fichile naka hur punofcha wa muhang ndǝ kussa Musa ɗi. Paɗ la ndakuwa mǝ heshafichǝ hwechengnandǝwa, paɗ mǝ kurindǝ tormurteng nandǝwa.
2c15160041	Nakmasǝtwa kǝniya chu? Kǝthlǝm nanda sǝk kushsheng ɓaɗeku.
2c1517004a	I naksi su i ndutani kǝ sǝna. Nofchengnanisǝ fwaɗa, fichile ak ichimi.
2c151800ff	Haru nofchiniyu kǝ ɗuni sapandǝ faɗengnuniɗi, kǝ kwanǝ i la kwantǝficha, kǝthlǝm kǝ hǝssang ndǝ kanda. Tǝ kichu nat ficha sǝndǝ tǝ ndatwa, i mbwa'andǝ ficha kanda nga kitchitsuwa, paɗ nakndanat nda sokǝn naka kuwur i mbutǝ kustǝkǝn.
2c151900d3	Paɗ punofchi fǝrkǝkit, a thlinani ɗelwer tepi thlaɗanihi, mǝngǝmiɗunifa kǝ sǝmmuni i'thlandǝficha ɗǝhhachiwa, tǝ fǝllawichitta, tǝ chi i'ɓekrandǝfichǝ ɓurat'en, paɗ tǝ chi thlu tǝ fwar'en.
2c151a00cd	Ɓingǝtkǝn Bulus tǝrkǝn nofchǝkǝn, sapangfichǝ kandaɗǝ ufnda. Yimkǝnnda kapat hura'a Fara, kǝthlǝm kǝ sǝnaǝn farǝ nǝhata saptengnandaɗi, a fari nat ficha fǝr poffǝn kǝthlǝm chikawuni.
2c151b009f	Kǝ nat mundǝ muɗɗa yah nǝhata, Yahudawechi ɓaka hǝmǝt Asiya nakndǝ Bulus a kapat hura'a Fara. Ndǝkǝn chikandǝndǝ terǝ humkǝn ufnda, kǝssangnda.
2c151c0149	Naknda hwata kannda ndatwa: "Nofcha Isra'ila, kǝssamnakanisi! Le nifiya lasakaǝn ɓǝɓi'ichaɗi kǝ ɗar nofchengnǝm chika ayi, kǝnambwa'anda chika wuni, kǝ njirndǝ kussa Yahundawecha. Lashuwungkǝn ɓǝɓi'icha ɗar kapat hura'a Fara, paɗ latǝkmaǝn kweshcha mbǝɗihi chiɗchiɗya tǝ mbǝɗa ɓattǝ punofcha hurkǝn.
2c151d0084	Kǝthlǝm soh neɗ ndǝ Tarofimus lǝ Afisawata, kanda mbǝt ǝrta a hur hǝmta, tǝrkǝndǝwa Bulus yima kapat hura'a Fara tǝ ndi.
2c151e00af	Chatkichuyu shekɗang in'ndǝ hǝmta, ɓaknofchǝ tǝ rahtǝ ufnda, kǝssang ndǝ Bulus kahkǝndǝnda kish, a hur kapat hura'a Fara, chatkichuyu ngǝllang fichǝ mikǝtǝncha.
2c151f007a	Kanda ɗar yarǝ ɓǝllanda, saakǝ kushengkǝna mbǝɗa kapat lǝthlǝrhwata, ndatwa kim Urshelimahi tǝ thla hur in'nda.
2c152000bf	Chatkichuyu harkǝn fathlǝrhwecha tǝ pǝktat fathlǝrhwecha Roma, rahkǝnda hai kǝ mbǝɗi nat ngomnofchǝkǝn. Paɗ kǝ natndǝ fathlǝrhwechǝkǝn tǝ kapat nanda malang ndǝ tǝp Bulus.
2c15210087	Ɓak kapatnandǝ nduk kǝssaǝn, ndakǝnwa kǝ kǝnnang ficha, tǝ chalalochǝ chap. Kanna sahtǝwa ndu wunnakǝn, tǝ i paɗ sǝttǝn.
2c152200d4	Thlaakǝ terǝ nofchiyu naknda muh hanhara, ndakfunuwa kǝcha, nak funǝndatpaɗwa kǝcha. Kǝthlǝm yakat thlahur in'nda hullaɗa mbǝssandǝ ɗarshuwunkǝn, ndakǝnwa kǝ ɗafichǝ tǝnda hura'a fathlǝrhwecha.
2c15230062	Kǝ saatǝ Bulus kǝmi tǝrta, tǝrkǝ fathlǝrhwechǝkǝnndi kǝthlǝm thlahur'inda terǝ nofcha,
2c15240046	Yakat nofchǝ oi kuwurkǝkanda, kanda hwata tǝ ndatwa: "Ɓǝllamǝn!"
2c152500ba	Kǝ natndǝ nduk yimtǝ tǝ Bulus kǝ hura'a fathlǝrhwechǝkǝn, ndǝkǝn ndandǝna kapatnandǝwa: "Ni mbǝlla shunutǝwa?" Ngǝrkǝ kapatnandǝtǝkǝnsuwa: "Awi la mbǝrku Helenanciwa?
2c1526009d	Awi nga sokǝn naka Lǝmasarawatwa, naka a hurechi mbǝrkǝhi humang thlahur'indǝyuwa, kahkǝ nofchǝ aru kumchit kum fwaɗa fa ɓǝlfata kǝ loktarǝyuwa?"
2c152700a8	Ndǝkǝn ngǝmmandǝ Buluswa: "Ə, njang Lǝyahudawata naki a Tarsus, a hachahai Kilikiya. Njang ɓaki hǝmǝɗi sǝntǝficha, nja hwanuta malitǝn kǝ shunayi nofcha."
2c152800b8	Kǝ fǝrandǝn mbanda, thlarkǝ Bulus kǝ mbǝt thlara, thla'anghara kǝmbǝɗa terǝ nofcha kǝthlǝm kǝ ngasndǝ ɓa. Kǝ ngastǝ ndǝ ɓa, shunaǝn kandǝ tǝ mi Aramayata, ndatwa:
2c16010069	"Hanmanchina tǝ shinchina sǝkamnji, kǝ mbwa'ayikuni isǝka kǝthlǝm kǝ cheɗayikuniwa suwuni'ǝnwa."
2c1602005c	Kǝ sǝktǝndǝndǝ shunaɗǝkandǝ tǝ mi Ibraniyanci, ngaskǝndǝ ɓa. Ndǝkǝn ndatǝnwa:
2c16030112	"Njang lǝ Yahudawat naki, ngǝtkǝfichinja Tarsus, a hachahai Kilikiya. Nat tǝkichu mwanki hǝmmǝɗiya, paɗ sakikǝfichǝ changkathar tǝ mbǝɗa Gamaniel, le sakikǝ ichǝhar uf kǝ ɗar sakta kakechengnǝm. Lǝ sǝrǝhki kuwur Fara, nda i uffuni lǝ sutuni a ɓukweya.
2c1604008b	Ɓahhaɗi fa kuwur mbanda Yǝso, paɗ lanaki ɓǝllandǝkanda, lanaki kǝnandǝ nofcha nda hishcha tǝ nishcha, la muhki kanda hur pursuna.
2c16050122	Kapat pǝrist tǝ pǝktat fasakmicha, tǝ fa hǝmmbanicha, na sheta kǝ ɗarna. Mbǝɗengnandǝ thlitti ɗelwer kǝ mbǝɗa fahchinǝm Yahudawecha, thlaaki pǝɗakǝ kǝ Dimaska, kǝ thlǝm kǝ hari fichile naka mbǝnniyu, kǝ ɓitǝkanda Urshelima a kǝnnda, ɓah nanda fǝraa pwane kanda.
2c1606006f	"Nja ɗar pǝɗata, kǝ saati nduk tǝ Dimaska, kana hur fara sata, chatkichuyu ɓak ɗwachita afshi, finikǝn.
2c1607005e	Hǝmkǝnhi kǝ hachahaya sǝkki ɓurata ɗitǝwa: 'Shawulu, Shawulu, i'mi natu fǝri pwancha?'
2c16080075	Njang paɗ ngǝmayiwa, sokǝn wuni, Lǝmwanda?' Ndǝkǝn ɗitǝnwa: "Njang Yǝso Lǝnazaratta, le natu fǝra pwancha.
2c1609006e	Paɗ fichǝle naka thlǝmmatna, neɗɗi ɗwaachikkǝn, nattǝkichu sukundǝ ɓurata lenaka shundǝ tǝ njiuwa.
2c160a0097	Ndakiwa, mǝnati sǝtta Lǝmwanda?" Ndǝkǝn ɗitǝ Lǝmwanduwa, thla'u kǝ yimna Dimaska, a mbǝnniyu nat ficha mbu'u i tahsandǝ fichǝhi kǝ sǝnna.
2c160b0085	Kǝ hullandi nat mbǝta kǝthlǝm ɗwaachit hwaɗiyu, thlaakǝ fichile natani mbǝt ǝrtǝyu kǝskǝndǝ harengna, saaki kǝ Dimaska:
2c160c009d	"Yunǝsi nat thlǝmkǝnwa Hananiya, la kuwur Farǝ nakǝn nda iyarandǝ kus hi, lela shunang Yahudawecha nat kǝ sǝkndǝndi fichile nak tǝ sokta mbǝnniyu.
2c160d007b	Ɓakna mbǝsnji, thlarkǝn nduk tǝ nji ndikǝnwa: "Shawulu hwanya thlu natmbǝɗeku." Chatkichuyu naki nat mbǝta nakindi.
2c160e0075	Ndakǝnwa: "Tǝɗ Fara kakechengnǝmsa kǝthlǝm kǝ sǝnnǝ sakti'en, kǝ nana lǝ kachita kǝ sǝknǝ shunda mi'en.
2c160f0058	Kǝthlǝm kǝ sǝnna lǝ sheta'en kǝ mbǝɗa nofchǝ nat kǝ ɗar i'natu, tǝ'i'sǝktu.
2c16100083	Nakǝnya mǝnatu puta? thla'u, kǝ sukǝ fichǝ baptisma kǝthlǝm kǝ sapang fichǝ ɓǝɓifaɗekuɗi, tǝ mbǝɗa at thlǝmkǝn."
2c1611005e	"Kǝ ngǝrandi'ina Urshelima, naki hwanda a kapat hura'a Fara, ɓak ǝn nda sǝnnata mbǝsnji.
2c16120079	Naki Lǝmwanda, nangna nditǝwa: "Suleɗleɗ kǝ chenakisha Urshelima, kǝthlǝm ngunda thlǝt sheta e'ku kǝ ɗarnǝwa."
2c161300ad	Njang paɗ ndakiwa: "Lǝmwanda, kandang tǝ inchengnanda a shinnda i sǝka kǝtǝn humta Yahudawechǝhi, a kǝnnaɗi fichile fǝrkǝkit kǝmbǝɗeku, paɗ a tǝppaɗi kanda.
2c161400a1	Kǝ thlǝrandǝ fichǝ fwara Istifanusa ɗi, lǝ sheta ti e'kuyu, njang ma njang kitta mbǝnniyu, nja kuwur i sǝt ficha, nja pu njelecha fichilehar ɓǝlangyu."
2c16150043	Ndikǝnwa: "Thla'u puɗu, ni thlǝnsa langna kǝ mbǝɗa punofcha."
2c161600d3	Terǝ nofchǝkǝn naknda kathlǝmata Bulus, ɓakna mbu shuniniyu, mǝlla ɗar mbu'ichiniyu, thla'ang ndǝ hwata kanda ndatwa: "Ɓǝllamǝn! Sakamǝn witǝ nifihiya tǝkishita, kamusi kǝ nan tǝ shisshingtǝwa!"
2c1617004f	Naknda hwata nak nda muhandǝ ɗǝsupchengnandaɗi, naknda thla'andǝ tǝnnata,
2c161800c7	Kǝthlǝm ndǝkǝn Lǝmbanita fathlǝrhwata shuwunkǝn tǝ ndatwa, kǝ ɗa fichǝ tǝ Bulus kǝ mbǝɗi la soktǝ fathlǝrhwata, kǝthlǝm kǝ tǝpangnda kǝ sǝnndǝ isǝk nat nofcha hwanda kicheya.
2c161900eb	Kǝ kǝnnandǝnda kǝthlǝm kǝ tǝppangnda, ndang Bulussa kapat lǝthlǝrhwatkǝnna Roma lenak kit nduktǝndi: "Awi, hur kus keekesi kǝ sangnǝ ǝn ndu kǝ tǝpang ficha nifi naka hanhura'a Romawecha nga tǝ sang fichǝ kitasǝwowa?"
2c161a0080	Kǝ sǝktǝ kapat lǝthlǝrhwata Roma kichu, ɗǝkna mbǝs lǝmbanikǝn ndaǝnwa: "Mǝnatu yarǝsǝta? Nifiya hwan Roma nakǝn."
