010000000c	U̱r-Taku̱n
2c07080237	Ru̱-u̱ ye' Ibrahi este̱du̱ u̱s-rem u̱zu̱, yadu̱ u̱r-campa u̱r-be̱e̱t u̱-me̱ bu-u wa, u̱ ko̱-u̱r ro ne̱ u̱r-be̱e̱t du̱ na mate̱ na no̱mu̱ de̱ u̱r-pe̱s. U̱t-ko̱se̱ u̱zu̱ u̱n be̱e̱t ne̱t-tu̱ u-Ru̱ to̱ tu̱msu̱ u̱nu̱ do̱rru̱ no̱m-u̱ wa ware̱ Ibrahi wa no̱m. De̱ wu̱te̱ da-u̱ Ibrahi mate̱ Ishaku wa no̱mu̱ wa u̱r-pe̱s da-u̱ Ishaku no̱me̱ m-roog u̱t-eer. Isyaku mu̱t Yakubu tu̱msu̱ wa no̱mu̱ wa u̱r-pe̱s. Tu̱msu̱ iya o̱ Yakubu mu̱t u̱so-tu̱ u̱so-u̱t in o̱p-u̱t yu̱r wa no̱mu̱ e̱ u̱r-pe̱s.
2c07090119	“U̱so-tu̱ u̱so-u̱t in ba shu̱'u̱te̱ u̱zu̱ e̱ o̱ shu̱b-u̱r Yusuhu remu̱ zu̱ u̱so-u e̱ o̱ cwan-u̱t Yusuhu sok. Remu̱ iya e̱ bu̱b wu̱n u̱du̱ a serpa-ne̱, e̱ ku̱b Yusuhu m-ha Masar remu̱ wa no̱m-u̱t m-to̱k. Se̱di Ru̱-u̱ o̱ u̱r-kot u̱ wu̱n ne̱,
2c070a010d	Wa ruut wu̱n du̱gu̱ swadu̱ u̱r-ko̱b. Ru̱-u̱ muut wu̱n wa u̱s-ve̱r, tu̱msu̱ wa hyu̱-m pus-mo̱ u̱du̱ Faru̱k-u̱ Masar. Faru̱k wu̱ wu̱n u̱r-faru̱k u̱ dak-u̱ Masar u-be̱e̱t tu̱msu̱ wa yasu̱ Yusuhu gwat-du̱ no̱m-tu̱ bu-u̱t wa u̱t-be̱e̱t.
2c070b009a	“De̱ku̱n ho̱-de̱ me̱r-su̱ he̱e̱n u̱-me̱ dak-tu̱ Masar u̱ Kan'ana-ne̱, ne̱t-tu̱ o̱ swadu̱ u̱r-ko̱b sok u̱ ko̱b-du̱ no̱m u̱t-re̱.
2c070c00bb	Da-u̱ Yakubu ho̱ge̱ u̱zu̱ no̱m u̱t-re̱ o̱ro u̱ Masar, se̱ wa tom hu̱no̱-u̱t Yusuhu, wato u̱so-tu̱ u̱so-u̱t in m-ha u̱ dak-u̱ Masar, u̱ da-u o̱ u̱n he̱e̱se̱ m-ha.
2c070d00fd	U̱ ha-mu̱ u-yu̱ru̱mse̱ Yusuhu ko̱se̱ hir-u̱r wa u̱du̱ o̱r-u̱t wa ne̱, ne̱t-tu̱ waru̱ Faru̱k-u̱ Masar u̱zu̱ ne̱t-u̱t Yusuhu ne̱t-tu̱ Yahuda-ne̱ to̱. Tu̱msu̱ ne̱t-tu̱ haane̱ du̱gu̱ Kanan hu̱u̱b-tu̱ u̱r-matu̱ rò to̱.
2c070e009d	Se̱ Yusuhu tom u̱zu̱ u̱ uso-u rò Yakubu wa haan u̱ a-u-bu u̱n ne̱ be̱e̱t, u̱n be̱e̱t u̱n teeg ne̱t-ne̱ u̱t-shik u̱t-tu̱t u̱ o̱p-u̱ tan.
2c070f0052	Yakubu do̱'e̱ u̱ Masar, ku̱na wa mu̱rte̱, u̱ u̱so-tu̱ u̱so-u̱t in ne̱.
2c071000df	Na kabu̱n u-u̱r Yakubu u̱ du̱ Yusuhu ne̱, na mu̱tu̱n u̱ She̱ke̱m, na dok Yakubu u̱ sag-u̱ Ibrahi o̱ye̱, tu̱msu̱ na dok Yusuhu u̱ be-du̱ Yakubu o̱ye̱ u̱ kom-tu̱ yaag-u̱ Hamo̱r u̱ku̱n u̱ She̱ke̱m.
2c07110087	“Da da-u̱ shu̱su̱ este̱du̱ u̱s-rem su̱ Ru̱-u̱ no̱me̱ Ibrahi teene̱, ne̱t-tu̱ sur, e̱ nom u-tát sok u̱ dak-u̱ Masar.
2c07120041	U̱ da-u o̱ na nom faru̱k-u̱ powa u̱ Masar, wa nak Yusuhu da.
2c0713007d	Faru̱k-u̱ wa no̱ngu̱ ne̱t-u̱t it no̱m-u̱t yo̱-to̱ sok, wa wu̱ na ju̱ru̱g yaag i mat-u̱r pode̱, tas e̱ fat da.
2c07140082	“U̱ da-u o na mate̱ Mosa, ya-u̱r so̱de̱ de̱ sok u̱du̱ u-Ru̱. Na wu̱ru̱g wa u̱ bu-u̱ uso-u wa u̱s-pyaat u̱s-tu̱t.
2c0715008b	Da-u̱ na rwu̱tu̱n wa du̱gu̱ u-bu na rest, wa'-u̱ Faru̱k-u̱ Masar yadu̱ u̱r-gwu̱p ku̱b wu̱n. Wa got wu̱n sok u̱ka wa'-u̱ ro.
2c071600b2	Se̱ a-u̱t-ko̱se̱ tu̱ Masar is-u̱ Mosa nap-mu̱ ne̱t-tu̱ Masar, tu̱msu̱ wu̱n ne̱t wa wu̱ o̱tte̱ be̱b-du̱ u̱s-rem, u̱ no̱mu̱ wa o̱ u̱t-no̱m ne̱ u-be̱e̱t.
2c07170074	“Da-u̱ wa teye̱ u̱s-hak u̱t-shik u̱t-yu̱r, se̱ wa dorog u̱zu̱ wa do̱'e̱ wa hyan o̱r-u̱t wa Isra-ne̱.
2c071800ac	Da-u̱ wa hyane̱ ne̱t-u̱ dak-u̱ Masar wa o̱ m-dum u̱ ne̱t-u̱ Isra-ne̱ se̱ wa do̱'e̱ wa se̱gu̱ ne̱t-u̱ Isra-ne̱, se̱ wa gu̱p ne̱t-u̱ Masar har wa mu̱r.
2c071900a0	Wa kabu̱g u̱zu̱ o̱r-u̱t ro ne̱ e̱ u̱t-nap u̱zu̱ Ru̱-o̱ se̱gu̱ wu̱n remu̱ wa u̱ku̱r o̱r-u̱t wa Isra-ne̱ du̱gu̱ m-to̱k, se̱di e̱ nak da.
2c071a00db	Da-u̱ is gase̱, se̱ wa hyen e̱ke̱n Isra-ne̱ m-dum, wa haan u̱ wa mot u̱n. Wa zu̱ u̱n, ‘No̱ ne̱t-u̱t tun-to̱, no̱ hu̱no̱ to̱ no̱, ¿remu̱ u-yan o̱ no̱ o̱tte̱ yadu̱ o̱r-u̱t no̱ u̱r-ko̱b?’
2c071b00a8	“Ne̱tu̱ o̱ ho̱n-su̱ o̱ru̱ wa, se̱ wa to̱k Mosa u̱-kit wa zu̱, ‘¿Wana wa'e̱ bo̱, u̱ bo̱ shu̱'u̱t yu̱-Yat-ya it, tu̱msu̱ wa kwu̱p-du̱ u̱s-rem?
2c071c004a	¿Bo̱ u̱t-sa bo̱ ho̱ me̱ u̱ka bo̱ hote̱ ne̱t-u̱ Masar gyu̱p?’
2c071d008b	Da-u̱ Mosa ho̱ge̱ iya, se̱ wa som wa do̱'e̱ u̱ dak-u̱ Midiyan remu̱ wa pu̱k-u̱t. Ku̱na wa mu̱tte̱ ya'ag-u̱ campa-ne̱ yu̱r.
2c071e00ea	“Da-u̱ hak-su̱ u̱t-shik u̱t-yu̱r arke̱, wa-To̱m u-Ru̱ rwu̱u̱n u̱du̱ Mosa u̱-me̱ u̱r-do̱g u̱ te̱k-u̱ rem-du̱ u-ra u̱ de̱ku̱n cwu̱k-de̱, u̱ be-du̱ u̱r-gagu̱n du̱ m-hyu̱ru̱g u̱ dapu̱s Ro̱r-du̱ Sinai.
2c071f0092	Da-u̱ Mosa hyane̱ iya, no̱m-u̱ ho wa u̱ mu̱rimmo̱. Da-u̱ wa hikne̱ u̱t-mo̱r u̱ wa hyen-u̱t, se̱ wa hog cwar-u Yawe ya o̱ u̱t-zu̱,
2c0720009d	‘Me̱ wa u-Ru̱ u̱ u̱so-tu̱ u̱so-u̱t ro, Ru̱-u Ibrahi, u̱ Ishaku, u̱ Yakubu ne̱.’ Ku̱na war-u Mosa he̱e̱ste̱ m-zap, wa hog gye̱r u̱t-gwat.
2c0721005b	“Yawe zu̱, ‘Far ka'at-u̱t ro, remu̱ be-du̱ bo̱ o̱tte̱ ees, be-du̱ u-he̱n de̱.
2c072200e0	U̱m hyanu̱g ko̱b-du̱ na o̱ yadu̱ ne̱t-u̱t ri tu̱ o̱ Masar, u̱m ho̱k kan-u̱s u̱n tu̱msu̱ u̱m cu̱zgu̱n remu̱ u̱m ruut u̱n du̱gu̱ Masar, u̱ da-o̱ haane̱, u̱m do̱'e̱ to̱m-du̱ bo̱ m-mu̱ Masar.’
2c07230129	“U̱zu̱ Mosa yu̱ u̱n gu̱gme̱, e̱ zu̱, ‘¿Wana wa bo̱, bo̱ shu̱'u̱t yu̱-Yat-ya it, tu̱msu̱ wa-kwu̱p-du̱ u̱s-rem?’ Wu̱na Ru̱-u̱ to̱mne̱ wa shu̱'u̱t yu̱-Yat-ya tu̱msu̱ Wa-u-u̱ku̱r remu̱ se̱ge̱-du̱ wa-To̱m u-Ru̱ wu̱ rwu̱ne̱ u̱du̱ ro u̱-me̱ u̱r-ke̱ngi.
2c072400c7	Tu̱msu̱ wu̱na rwu̱tu̱n u̱n da-u̱ wa no̱me̱ no̱m-tu̱ m-shin tu̱msu̱ u̱s-nap ne̱ u̱ dak-u̱ Masar u̱ m-sa ne̱ yu̱ jaz-ya, tu̱msu̱ u̱-me̱ u̱r-do̱g u̱s-hak u̱t-shik u̱t-yu̱r.
2c0725009f	“Mosa zu̱ye̱ ne̱t-tu̱ Isra-ne̱, ‘Ru̱-u̱ de̱ to̱mnu̱ no̱ waku̱n wa-warru̱ rem-su̱ u-Ru̱ u̱ te̱k-u̱ me̱ no̱, u̱ka wa to̱mtu̱n me̱.’
2c07260117	Mosa wa kargu̱sse̱ yaag-u̱ Isra-ne̱ u̱ me̱ u̱r-do̱g. Tu̱msu̱ wa shu̱'u̱t u̱ u̱so-tu̱ u̱so-u̱t in, da-u̱ wa-To̱m u-Ru̱ wu̱ no̱me̱ u̱s-rem u̱ wu̱n ne̱ u̱ do̱m-u̱ Ro̱r-du̱ Sinai. Tu̱msu̱ wu̱na kabne̱ rem-su̱ yadu̱ u̱r-fat du̱gu̱-du̱ u-Ru̱.
2c07270080	“Se̱di u̱so-tu̱ u̱so-u̱t in gu̱gu̱m kabdu̱ rem-u̱s se̱, e̱ gu̱gu̱m rem-u̱s ro, e̱ ton e̱ mu u̱ dak-u̱ Masar.
2c07280095	E̱ zu̱ Haruna, ‘No̱mu̱ it m-gir, u̱ de̱ dor-tu̱ it remu̱ zu̱ Mosa rwu̱tu̱n it du̱gu̱ dak-u̱ Masar it nak no̱mu̱ kume̱ wu̱n da.’
2c07290097	U̱ da-u o̱ u̱n nom ryu̱n-u̱ yadu̱ u-na, e̱ no̱mu̱ yadu̱ u-na de̱ to̱o̱g, e̱ hu̱ u̱r-so̱ remu̱ no̱m-u̱ e̱ no̱me̱ u̱ hi-u̱r e̱.
2c072a0145	Remu̱ iya Ru̱-u̱ ju̱nu̱ u̱n wa yagu̱ u̱n, u̱n no̱mu̱ re̱ge̱r u̱t-huuk. Rem-u̱s sin-se̱ no̱ng ho̱n-ho̱n u̱ no̱mu̱ na pane̱ u̱ ran-u̱ a-warru̱ rem-su̱ u-Ru̱ u̱zu̱, “‘No̱ ne̱t-tu̱ Isra, ¿me̱ wa no̱ pane̱ u̱t-bisa no̱ nom to̱o̱g m-te u̱s-hak u̱t-shik u̱t-yu̱r u̱ me̱ u̱r-do̱g?
2c072b0108	U̱-me̱ be-du̱ m-gir du̱ More̱k de̱ no̱ o̱tte̱ u̱t-riig, u̱ re̱ge̱r ne̱ i m-gir i na foge̱ Rifan, wato gir-mu̱ no̱ no̱me̱ u̱ remu̱ no̱ hu̱u̱tu̱ no̱mu̱ e̱ u̱t-huuk. Me̱ hen u̱m de̱ to̱k-du̱ no̱ m-to̱k m-ra’ u̱-shu̱ u̱ Babira.
2c072c016a	“Da-u̱ u̱so-tu̱ u̱so-u̱t in o̱o̱ge̱ u̱-me̱ u̱r-do̱g, e̱ no̱ngu̱ u-Ru̱ u̱t-huuk u-me̱ u̱r-rimpa du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan, u̱ ko̱se̱ u̱zu̱ wa o̱o̱g u̱r-kot u̱ u̱n ne̱. Go̱-du̱ be-u̱r re̱ de̱ Ru̱-u̱ zu̱ye̱ Mosa no̱m, tu̱msu̱ u̱n no̱mu̱g rimpa-u̱r re̱ u̱ka Ru̱-u̱ ko̱ste̱ Mosa u̱ do̱m u̱r-ro̱r.
2c072d0164	Rimpa-u̱r re̱ de̱ u̱so-tu̱ u̱so-u̱t in kabne̱ tu̱msu̱ e̱ hatu̱n u̱ dak-u uno̱. U̱ da-u Josuwa o̱o̱ge̱ dor-tu̱ u̱n e̱ haan u̱ dak-u uno̱. U̱ da-u̱ u̱n o̱nke̱ dak-u o̱ u̱ kom-tu̱ ne̱t-tu̱ yi'e̱ m-tumb ne̱ Ru̱-u̱ buz e̱. U̱r-rimpa du̱ shu̱u̱t du̱ Wa-ko̱-uyan re̱ o̱ u̱ku̱n m-te̱ da-u̱ Dawuda o̱ u̱r-faru̱k.
2c072e00e1	Dawuda kwu̱ng hyu̱-m pus-mo̱ u̱du̱ u-Ru̱ wa nom u̱s-ko̱n u̱ remu̱ zu̱ wa no̱m-u̱t u-ma u̱ bu-u̱ Ru̱-u Yakubu du̱ m-mo̱mmo̱, ku̱na wu̱n u̱ ne̱t-tu̱ Isra-ne̱ be̱e̱t do̱te̱ no̱mu̱ u-Ru̱ u̱t-huuk.
2c072f0049	Suremanu wa maye̱ be-du̱ ne̱t-tu̱ do̱te̱ no̱mu̱ u-Ru̱ u̱t-huuk.
2c0730008d	“Ko ba shu̱'u̱te̱ iya, Wa Ko-uyan shu̱'u̱te̱ u̱ be-du̱ ne̱t maye̱ u̱ kom-u̱t wa da. U̱ka wa-warru̱ rem-su̱ u-Ru̱ zu̱tte̱,
2c073100c6	“‘Yawe zu̱, do̱m u-ru̱ o̱ be-du̱ u̱r-shu̱'u̱t-u̱ ri, u-dak be-du̱ jang-u̱t ri. ¿Yan go̱-du̱ u-bu o̱ no̱ de̱ ma-u̱ me̱? ¿Yan go̱-du̱ u̱r-be de̱ o̱ be-du̱ u̱r-hure̱ ri?
2c0732003b	¿Me̱ wa no̱me̱ no̱m-u̱t tun-to̱ u̱t-be̱e̱t da?’
2c073300f9	“No̱ a hu̱k-mu̱ u̱r-hi, a jab-su̱ u̱t-ta'ar, a to̱-tu̱ u̱t-shar, ko mu̱ne̱ no̱ dor-u̱t rem-su̱ Yar-u u-Ru̱ da. U̱so-tu̱ u̱so-u̱t gu̱gu̱mte̱ do̱rru̱ no̱m-u̱ Yar-u̱ u-Ru̱ ware̱ tu̱msu̱ iya o̱ no̱ o̱tte̱ u̱t-no̱m.
2c073400e0	U̱so-tu̱ u̱so-u̱t no̱ yaag a-warru̱ rem-su̱ u-Ru̱ ne̱ u-tát u̱r-ko̱b, tu̱msu̱ e̱ ho i no̱me̱ do̱nse̱-du̱ haan-u̱r Wa-u-He̱n u-Ru̱. No̱ tok wu̱n u̱ kom-tu̱ ne̱t-u̱t yo̱-to̱ tu̱msu̱ no̱ ho wa.
2c0735004e	No̱ o̱nke̱ u̱s-bo̱r u̱du̱ wa-To̱m u-Ru̱, se̱di no̱ dorogse̱ da.”
2c07360058	Da-u̱ u̱n ho̱ge̱ iya, e̱ hog u̱s-ryab sok, e̱ epru̱ u̱t-go̱p remu̱ u̱s-ryab.
2c07370096	Yar-u u-Ru̱ dor-u̱t Istifanus, wa wu̱ is u̱ do̱m u-ru̱ se̱ wa hyen sek-mu̱ u-Ru̱, tu̱msu̱ wa hyen Ye̱so̱ u̱ ees u̱ kom u̱t-cwa u-Ru̱.
2c07380089	Istifanus zu̱, “Gwatu̱n! U̱m o̱ hyan-du̱ do̱m u-ru̱ u̱r-hu̱k tu̱msu̱ ‘Wa'-u̱ Ne̱t’ o̱ ees u̱ kom u̱t-cwa u-Ru̱.”
2c0739005c	Se̱ u̱n he̱e̱se̱ u̱t-jar u-tát, u̱n tage̱ to̱-u̱t u̱n, u̱n he wu̱n u-da u-gan.
2c073a0136	U̱n tok wu̱n m-rwu̱ u̱-dim u-bo̱, u̱n hu̱ bongu̱ wu̱n u̱t-ta'ar. Ne̱t-tu̱ o̱o̱ge̱ ke̱-tu̱ wu̱n u̱s-rem, e̱ horom to̱ggo̱-u̱s yat-se̱ su̱ do̱m u̱ka e̱ do̱te̱ keru̱ bongu̱ wu̱n u̱t-ta'ar, e̱ hu̱u̱t cwu̱-u̱t e̱ u̱r-cu̱n u̱du̱ o̱ko̱n zwar-o̱ wu̱ na zu̱ye̱ Shawuru.
2c073b006c	E̱ bongu̱ Istifanus, wa hen se̱ wa nom u̱s-to̱o̱g wa zu̱, “Wa-ko-uyan Ye̱so̱, kab fat-u̱r ri.”
2c073c008b	Se̱ wa he u̱t-jwu̱n, wa jaku̱s u-cwar wa zu̱, “Wa-ko-uyan a-bo̱ ship ba'as-u̱t u̱n da.” Da-u̱ u̱t-war iya, se̱ wa mu̱ru̱s.
2c08010125	Shawuru o̱ u̱ku̱n, tu̱msu̱ wa yaag u̱r-be̱b u̱zu̱ na ho̱ Istifanus. U̱ te̱k-u̱ ho̱-u̱r re̱, o̱ko̱n gwu̱z-o̱ yu̱ne̱ za rem u̱ te̱k-u̱ a-doru̱ Urusharima. Na bu̱rgu̱sse̱ o̱ u̱ gas-u̱ Yahudiya u̱ Samariya-ne̱, a-To̱mu̱ Ye̱so̱ e̱ kuse̱ u̱ war'e̱ u̱ku̱n.
2c08020054	E̱ke̱n a-dor u-Ru̱ ne̱ haan e̱ dok Istifanus. E̱ kanu̱g sok remu̱ Istifanus.
2c080300ab	Se̱ Shawuru re shu̱ u̱ yadu̱ a-doru̱ Ye̱so̱ u̱r-ko̱b sok. Wa o̱ cwaag u̱t-bu wa o̱ naknu̱ campa-ne̱ u̱ ne̱ta-ne̱ u̱ tagu̱ e̱, u̱ me̱ kur-u̱ m-to̱k.
2c0804005f	Ne̱t-tu̱ na bu̱rgu̱sse̱, hu̱ u̱t-riig u̱ bu̱t-tu̱ Rem-su̱ m-Re̱me̱r su̱ Ye̱so̱.
2c08050059	Firibus hu̱ u̱ bo̱-o̱ Samariya u̱ waru̱ ne̱t-ne̱ u̱zu̱ Ye̱so̱ wa o̱ Kiristi.
2c080600a8	Da-u̱ ne̱t-tu̱ ho̱ge̱, tu̱msu̱ e̱ hyen no̱m-tu̱ m-shin tu̱ Firibus o̱ u̱t-no̱m, e̱ muut jab-u̱s e̱ u̱r-be u̱r-gan u̱ no̱m-u̱ na o̱ u̱t-war ne̱.
2c080700c5	No̱m u̱s-te he̱e̱se̱ u̱t-jar, e̱ hu̱ m-so̱m du̱gu̱ war-tu̱ u̱t-ne̱t u-tát, tu̱msu̱ na ye u̱t-ne̱t u-tát i o̱tte̱ go̱m-su̱ swa-u̱ ne̱t u̱t-be m-yar, u̱ a-za-u̱s-na ne̱.
2c08080033	U̱ remu̱ iya na nom u̱r-so̱ sok u̱ bo̱-u o̱.
2c080900b1	Waku̱n ne̱t wa o̱ro wu̱na zu̱ye̱ Simo̱n, wu̱ nome̱ u-gwat u̱ bo̱-u o̱. Tu̱msu̱ wa ho Samariya-ne̱ u̱ mu̱rimmo̱ sok, wa ku̱b hi-u̱r wa u̱ka ne̱t-u̱ yat-wa.
2c080a00e4	Ne̱t-tu̱ o̱ u̱ku̱n be̱e̱t a-u̱t-kwu̱m ne̱ u̱ a-za-u̱t-kwu̱m ne̱, byu̱ru̱n u̱du̱ wu̱n. E̱ o̱ u̱t-zu̱, “Ne̱t unwa o̱tte̱ be̱b-du̱ u-Ru̱, tu̱msu̱ Ru̱-u̱ wa'ag wa, wa shu̱'u̱t ne̱tu̱ yat-wa.”
2c080b007b	U̱n muut jab-u̱s u̱n u̱du̱ ro sok, remu̱ zu̱ wa tumbte̱ wa o̱ no̱m-du̱ no̱m-tu̱ m-shin u̱ be̱b-du̱ m-bo̱n.
2c080c00de	Se̱di da-u̱ u̱n ya u̱t-nip u̱ Firibus wa bu̱t-tu̱ Rem-su̱ m-Re̱me̱r su̱ faru̱k-du̱ u-Ru̱ u̱ dim-u̱r Ye̱so̱ Kiristi ne̱, na no̱mu̱ u̱n u̱t-yu̱bu̱sse̱ m-bu̱, u̱ dame̱ campa-ne̱ u̱t-ne̱ta ne̱.
2c080d00ce	Simo̱n yu̱' jab ko̱wa, da-u̱ na no̱mu̱ wa u̱t-yu̱bu̱sse̱ m-bu̱ se̱ wa du̱p Firibus u̱r-shu̱'u̱t. Da-u̱ wa hyane̱ no̱m-tu̱ m-shin u̱s-nap ne̱ tu̱ na no̱me̱, se̱ wa hu̱ mu̱rimmo̱.
2c080e0092	Da-u̱ a-To̱mu̱ Ye̱so̱ i o̱ u̱ Urusharima ho̱ge̱ u̱zu̱ Samariya-ne̱ kabu̱g rem-su̱ u-Ru̱, se̱ e̱ tok Biturus e̱ Yohanna u̱ku̱n.
2c080f0071	Da-u̱ Biturus e̱ Yohanna do̱'e̱ u̱ku̱n, u̱n no̱mu̱ u̱n u̱s-to̱o̱g, remu̱ e̱ kum-u̱t Yar-u u-Ru̱.
2c0810009e	Biturus e̱ Yohanna nu̱p remu̱ zu̱ Yar-u teegu̱ haan u̱du̱ u̱n da, se̱di na no̱mgu̱ u̱n u̱t-yu̱bu̱sse̱ m-bu̱ u̱ dim-du̱ Wa-ko-uyan Ye̱so̱.
2c08110062	Biturus e̱ Yohanna do̱ru̱ u̱n u-kom e̱ wa'-u̱ u̱n nu-u so̱-o̱, e̱ kum-u̱t Yar-u u-Ru̱.
2c081200b6	Da-u̱ Simo̱n hyane̱ u̱zu̱ Ru̱-u̱ yaag be̱b-du̱ Yar-u wa u̱du̱ u̱t-ne̱t, da-u̱ a-To̱mu̱ Ye̱so̱ do̱ru̱ u̱t-ne̱t u̱t-kom. Se̱ wa nabu̱ a-To̱mu̱ Ye̱so̱ shik.
2c08130077	Wa zu̱, “Na ya' me̱ ko̱me̱ be̱b-u̱r re̱, remu̱ zu̱ ko̱wana u̱m do̱re̱ u-kom se̱ wa kum Yar-u u-Ru̱.”
2c0814008f	Biturus zu̱ wu̱n, “Bo̱ u̱ shik-u̱ ro ne̱, ¿no̱ do̱r m-zan, bo̱ o̱ m-hyan u̱zu̱ u̱ shike̱ bo̱ do̱te̱ kwu̱m-du̱ ya' u-Ru̱?
2c081500ac	Ru̱-u̱ wa'ag bo̱ u̱ no̱m-du̱ o̱ko̱n u̱r-kot u̱ it ne̱ u̱ pama-u̱ it o̱ u̱t-no̱m ne̱ da. Remu̱ zu̱ Ru̱-u̱ nak u̱zu̱ dorog-u̱s ro za u̱ so̱-se̱ da.
2c081600a2	Se̱ bo̱ byu̱ru̱n bo̱ yage̱ no̱m-du̱ no̱m-u̱t yo̱-to̱ tun-to̱, bo̱ ko̱n u-Ru̱ wa has-tu̱ bo̱ no̱m-tu̱ bo̱ zo̱nge̱ u̱t-no̱m u̱ jab-u̱ ro.
2c08170077	U̱m zu̱u̱g iya remu̱ zu̱ u̱m hyang bo̱ o̱ u̱r-shu̱b ne̱ sok, tu̱msu̱ bo̱ o̱ m-wa u̱-me̱ u̱t-ba'as.”
2c0818006f	Se̱ Simo̱n zu̱, “Ko̱no̱n me̱ Wa-Ko-uyan, taas no̱m-tu̱ no̱ ware̱ u̱t-be̱e̱t to̱ kum me̱ da.”
2c08190123	Da-u̱ Biturus e̱ Yohanna ware̱ u̱t-ne̱t no̱mu̱ e̱ nape̱ u̱ hi-u̱r e̱ u̱ mo̱t-u̱t Wa-ko-uyan Ye̱so̱ tu̱msu̱ e̱ nom do̱nse̱-du̱ rem-u̱s Ye̱so̱. Da-u̱ e̱ o̱o̱ge̱ u̱ fu̱n-yu̱ u̱r-mu̱ u̱ Urusharima e̱ hu̱ warru̱ Rem-su̱ m-Re̱me̱r u̱ taas-tu̱ Samariya.
2c081a009d	Wa-To̱m u-Ru̱ zu̱ Firibus, “Yu̱ne̱ bo̱ do̱r m-ereg, bo̱ do̱r fu̱n-yu̱ rwu̱ne̱ du̱gu̱ Urusharima m-ha u̱ Gaza” wato fu̱n-yu̱ u̱r-do̱g.
2c081b0109	Se̱ wa yu̱ne̱ wa do̱'e̱. Ku̱na wa bitte̱ waku̱n ne̱t-u̱ dak-u̱ Itiyofiya tu̱msu̱ man. Wa o̱tte̱ o̱g-u̱r yat-de̱ u̱ faru̱k-u̱r Kandis u-Re̱n yu̱ Itiyofiya, wu̱na wa u̱r-cu̱n u-re̱n. Wa hagu̱n u̱ Urusharima remu̱ wa no̱m-u̱t u̱t-huuk.
2c081c00bd	Da-u̱ wa o̱o̱ge̱ u̱ te̱k-u̱ u̱r-no̱k m-mu̱ u-bu u̱ shu̱'u̱t u̱ do̱m-u̱ ke̱ke̱-yu̱ jwaak, se̱ wa u-pus ran-u̱ wa-warru̱ rem-su̱ u-Ru̱ Ishaya wa hu̱ u̱t-karu̱nte̱.
2c081d0053	Se̱ Yar-u u-Ru̱ zu̱ Firibus, “Dapu̱rse̱ be-du̱ ke̱ke̱-yu̱ jwaak-u ya.”
2c081e00cb	Se̱ Firibus nom m-so̱m wa do̱'e̱ u̱du̱ ro, wa hog wu̱n u̱ karu̱nte̱ ran-u̱ wa-warru̱ rem-su̱ u-Ru̱ Ishaya. Se̱ Firibus shit wu̱n u̱zu̱, “¿Bo̱ nak no̱m-u̱ bo̱ u̱t-karu̱nte̱?”
2c081f0096	Se̱ wa shu̱s wa zu̱, “A'o, se̱ waku̱n ko̱sku̱ me̱.” Se̱ wa zu̱ Firibus, “Daane̱ u̱ do̱m-u̱ Ke̱ke̱-yu̱ u-jwaak yo shu̱'u̱t.”
2c082000d6	U̱ te̱k-u̱ no̱m-u̱ wa o̱ u̱t-karu̱nte̱ o̱ u̱t-zu̱, “Na nak wu̱n u̱ka u-ca m-ha u̱du̱ u̱t-ho̱, u̱ka kag-u̱ u-ca hote̱ u̱s-ram u̱du̱ a wa o̱r-ru̱ wa, iya o̱ hen wa hak nu-u̱ u̱s-rem da.
2c082100c9	Ne̱t-tu̱ no̱ngu̱ wu̱n no̱m-u̱t yo̱-to̱, tu̱msu̱ e̱ yaag wu̱n u-mo̱t da. Waku̱n zaar wu̱ de̱ keru̱ warru̱ u̱ka ko̱-u̱r ró da, Remu̱ zu̱ na kabu̱g fat-u̱r wa du̱gu̱ u-dak.”
2c0822008d	Se̱ manu̱ wa shit Firibus, “¿Wa-warru̱ rem-su̱ u-Ru̱ wana wa o̱tte̱ u̱s-rem? ¿Rem-su̱ hi-u̱r wa se̱ wa o̱tte̱ ko waku̱n?”
2c0823008e	Se̱ Firibus he̱e̱se̱ yadu̱ wu̱n m-zu̱n u̱-me̱ rem-su̱ u-Ru̱ su̱ u karu̱nte̱. Wa waru̱ wu̱n Rem-su̱ m-Re̱me̱r su̱ Ye̱so̱.
2c082400b6	U̱n o̱ te̱k-u̱ m-ha se̱ u̱n te be-du̱ m-bu̱. Se̱ campa-u ya man zu̱, “Gwat bu̱-mu̱ ya u̱ ane̱, ¿yan o̱ de̱ u̱t-hoos na no̱mu̱ bo̱ u̱t-yu̱bu̱sse̱ m-bu̱?”
2c082600a0	Se̱ wa zu̱ u̱ na egu̱sse̱ ke̱ke̱-yu̱ jwaak, u̱n yu̱r be̱e̱t u̱n to u̱ me̱ m-bu̱, ku̱na Firibus no̱m-tu̱ campa-u ya u̱t-yu̱bu̱sse̱ m-bu̱.
2c082700a5	Da-u̱ u̱n rwu̱ne̱ du̱gu̱ m-bu̱, Yar-u u-Ru̱ ku̱b Firibus. Campa-u ya man swu̱ru̱g hyan-du̱ wu̱n da tu̱msu̱, se̱ wa hu̱ m-ha u̱ te̱k-u̱ u̱r-so̱.
