0100000009	Yaritilix
172e0100e3	Bǝl bolsa tiz pükti, Nebo engixiwatidu; Ularning mǝbudliri ulaƣlarning zemmisigǝ, kalilarning zimmisigǝ qüxti; Silǝr kɵtürgǝn nǝrsiliringlar ǝmdi ulaƣlarƣa artilƣan bolup, Ⱨalsiz ulaƣlarƣa eƣir yük bolidu!
172e02006c	Ular engixidu, birliktǝ tiz pükixidu; Ular muxu yükni ⱪutⱪuzalmaydu, Bǝlki ɵzliri ǝsirgǝ qüxidu.
172e0300e0	I Yaⱪupning jǝmǝti, Xundaⱪla Israil jǝmǝtining ⱪaldisi, Ananglarning ⱪorsiⱪidiki qaƣdin tartip üstümgǝ artilƣanlar, Baliyatⱪudiki qaƣdin tartip kɵtürülüp kǝlgǝnlǝr, — Manga ⱪulaⱪ selinglar!
172e0400c3	Silǝr ⱪeriƣuqimu Mǝn yǝnila xundaⱪturmǝn, Qeqinglar aⱪarƣuqimu Mǝn silǝrni yüdüp yürimǝn; Silǝrni yasiƣan Mǝndurmǝn, silǝrni kɵtürimǝn; Silǝrni yüdüp ⱪutⱪuzimǝn.
172e050090	Əmdi Meni kimgǝ ohxatmaⱪqi, Yaki kimni Manga tǝng ⱪilmaⱪqisilǝr? Uni Manga ohxax dǝp, Silǝr kimni Mǝn bilǝn selixturmaⱪqisilǝr?
172e0600ae	Ular bolsa ⱨǝmyanidin altunni qeqip berip, Kümüxnimu taraziƣa salidu, Bir zǝrgǝrni yalliwalidu, U bir mǝbudni yasap beridu; Ular yiⱪilidu, dǝrwǝⱪǝ qoⱪunidu!
172e0700e3	Ular uni mürisigǝ artidu, Uni kɵtürüp, ɵz orniƣa ⱪoyidu; Andin u axu yǝrdǝ ɵrǝ turidu; U ornidin ⱪozƣilalmaydu; Birsi uningƣa yelinip tilǝydu, Lekin u jawab bǝrmǝydu; U kixini awariqilikidin ⱪutⱪuzmaydu.
172e08009c	Muxu ixlarni esinglarda tutunglar; Xundaⱪla ɵzünglarni ⱨǝⱪiⱪiy ǝrkǝklǝrdǝk kɵrsitinglar; I, itaǝtsizlǝr, Buni esinglarƣa kǝltürünglar;
172e0900ae	Ilgiriki ixlarni, yǝni ⱪǝdimdin bolƣan ixlarni esinglarƣa kǝltürünglar; Qünki Mǝn Tǝngridurmǝn, baxⱪa biri yoⱪtur; Mǝn Hudadurmǝn, Manga ohxaxlar yoⱪtur;
172e0a00d3	Mǝn: «Mening bekitkinim orunlinidu, Kɵnglümgǝ barliⱪ pükkǝnlǝrni ǝmǝlgǝ axurmay ⱪoymaymǝn» dǝp, Ixning nǝtijisini baxtila, Aldin’ala tehi ⱪilinmiƣan ixlarni ayan ⱪilip eytⱪuqidurmǝn;
172e0b0125	Künqiⱪixtin yirtⱪuq bir ⱪuxni, Yǝni kɵnglümgǝ pükkinimni ada ⱪilƣuqi bir adǝmni yiraⱪ yurttin qaⱪirƣuqidurmǝn. Bǝrⱨǝⱪ, Mǝn sɵz ⱪilƣan, Bǝrⱨǝⱪ, Mǝn uni qoⱪum ǝmǝlgǝ axurimǝn; Buni niyǝt ⱪilƣanmǝn, Bǝrⱨǝⱪ, Mǝn uni wujudⱪa qiⱪirimǝn.
172e0c0055	I ⱨǝⱪⱪaniyliⱪtin yiraⱪ kǝtkǝn jaⱨillar, Manga ⱪulaⱪ selinglar: —
172e0d00c9	Mǝn ⱨǝⱪⱪaniyliⱪimni yeⱪin ⱪilimǝn, U yiraⱪlaxmaydu; Xuningdǝk Mening nijatim ⱨǝm keqikmǝydu; Mǝn Zionƣa nijat yǝtküzüp, Israilƣa julaliⱪ-güzǝllikimni tiklǝp berimǝn».
172f0100aa	«I Babilning pak ⱪizi, kelip topa-qangƣa oltur; I kaldiylǝrning ⱪizi, tǝhtsiz bolup yǝrgǝ oltur! Qünki sǝn «latapǝtlik wǝ nazuk» dǝp ikkinqi atalmaysǝn.
172f020091	«Tügmǝn texini qɵrüp, un tart ǝmdi, Qümpǝrdǝngni eqip taxla, Kɵnglikingni seliwǝt, Paqiⱪingni yalingaqla, Dǝryalardin su keqip ɵt;
172f030069	Uyatliⱪing eqilidu; Bǝrⱨǝⱪ, nomusungƣa tegilidu; Mǝn intiⱪam alimǝn, Ⱨeqkim Meni tosmaydu.
172f04009b	Bizning Ⱨǝmjǝmǝt-Ⱪutⱪuzƣuqimiz bolsa, «Samawi ⱪoxunlarning Sǝrdari bolƣan Pǝrwǝrdigar» Uning nami; U Israildiki Muⱪǝddǝs Bolƣuqidur.
172f0500a4	I kaldiylǝrning ⱪizi, süküt ⱪelip jim oltur, Ⱪarangƣuluⱪⱪa kirip kǝt; Qünki buningdin keyin ikkinqi «sǝltǝnǝtlǝrning hanixi» dǝp atalmaysǝn.
172f06010d	Mǝn Ɵz hǝlⱪimdin ƣǝzǝplǝndim, Xunga Ɵzümning mirasimni bulƣiwǝttim, Xuning bilǝn ularni ⱪolungƣa tapxurup bǝrdim; Sǝn bolsang ularƣa ⱨeqⱪandaⱪ rǝⱨim kɵrsǝtmiding; Yaxanƣanlarning üstigimu boyunturuⱪlarni intayin eƣir ⱪilip salding;
172f0700a3	Xuning bilǝn sǝn: — «Mǝn mǝnggügǝ hanix bolimǝn» dǝp, Muxu ixlarni kɵnglüngdin ⱨeq ɵtküzmiding; Ularning aⱪiwitini ⱨeq oylap baⱪmidingsǝn.
172f08011b	Əmdi ⱨazir, i ǝndixisiz yaxap kǝlgüqi, Ɵz-ɵzigǝ: «Mǝnla bardurmǝn, mǝndin baxⱪa ⱨeqkim yoⱪtur, Mǝn ⱨǝrgiz tul ayalning japasini yaki balilardin mǝⱨrum boluxning japasini tartmaymǝn» — degüqi, I sǝn ǝyx-ixrǝtkǝ berilgüqisǝn, Xuni anglap ⱪoy: —
172f0900ed	«Dǝl muxu ikki ix, — Balilardin mǝⱨrum bolux wǝ tulluⱪ — Bir dǝⱪiⱪidǝ, bir kün iqidila bexingƣa tǝng qüxidu; Nurƣunliƣan jadugǝrlikliring tüpǝylidin, Bǝk kɵp ǝpsunliring üqün ular toluⱪ bexingƣa kelidu.
172f0a00f5	Qünki sǝn ɵzüngning rǝzillikinggǝ tayanƣansǝn, Sǝn «Ⱨeqkim meni kɵrmǝydu» — deding; Sening danaliⱪing wǝ biliming ɵzüngni eziⱪturup, Sǝn kɵnglüngdǝ: — «Mǝnla bardurmǝn, mǝndin baxⱪa biri yoⱪtur» — deding.
172f0b00f3	Biraⱪ balayi’apǝt seni besip kelidu; Sǝn uning kelip qiⱪixini bilmǝysǝn; Ⱨalakǝt bexingƣa qüxidu; Sǝn ⱨeqⱪandaⱪ «ⱨamiy puli» bilǝn uni tosalmaysǝn; Sǝn ⱨeq kütmigǝn wǝyranqiliⱪ tuyuⱪsiz seni besip qüxidu.
172f0c00fe	Əmdi ⱪeni, yaxliⱪingdin tartip ɵzüngni upritip kǝlgǝn ǝpsunliringni, Xundaⱪla nurƣunliƣan jadugǝrlikliringni ⱨazir oⱪup turiwǝr; Kim bilsun, sǝn ulardin payda kɵrüp ⱪalamsǝn? Birǝr nemini tǝwritip ⱪoyalarsǝn ⱨǝrⱪaqan?!
172f0d0131	Sǝn alƣan mǝsliⱨǝtliring bilǝn ⱨalsizlinip kǝtting; Əmdi asmanlarƣa ⱪarap tǝbir bǝrgüqilǝr, Yultuzlarƣa ⱪarap palqiliⱪ ⱪilƣuqilar, Yengi aylarni kɵzitip munǝjjimlik ⱪilip ixlarni «aldin’ala eytⱪuqilar» ornidin tǝng turup bexingƣa qüxidiƣanlardin seni ⱪutⱪuzsun!
172f0e00db	Mana, ular pahaldǝk bolup ketidu; Ot ularni kɵydürüwetidu; Ular ɵzlirini yalⱪunning ⱪolidin ⱪutⱪuzalmaydu; Biraⱪ ularda adǝmni issitⱪudǝk ⱨeq kɵmür, Yaki adǝm issinƣudǝk ⱨeq gülhan yoⱪtur!
172f0f00bf	Seni awarǝ ⱪilƣan, Yaxliⱪingdin tartip sǝndǝ soda ⱪilƣanlar sanga muxundaⱪ paydisiz bolidu; Ⱨǝrbiri ɵz yolini izdǝp ketip ⱪalidu; Seni ⱪutⱪuzƣudǝk ⱨeqkim yoⱪtur.
173001013c	I Yaⱪupning jǝmǝti, «Israil»ning ismi bilǝn atalƣanlar, «Yǝⱨuda bulaⱪliri»din qiⱪⱪansilǝr, Pǝrwǝrdigarning namini ixlitip ⱪǝsǝm ⱪilƣuqisilǝr, Israilning Hudasini tilƣa alƣuqisilǝr, Biraⱪ bular ⱨǝⱪiⱪǝt ⱨǝm ⱨǝⱪⱪaniyliⱪtin ǝmǝs! Munularni anglap ⱪoyunglar: —
17300200c9	(Qünki ular «muⱪǝddǝs xǝⱨǝr»ning namini ixlitip ɵzlirigǝ isim ⱪilidu, Tehi Israilning Hudasiƣa «tayinar»mix! Uning nami bolsa samawi ⱪoxunlarning Sǝrdari bolƣan Pǝrwǝrdigardur!)
17300300b9	Mǝn burunla «ilgiriki ixlar»ni aldin’ala bayan ⱪildim; Ular Ɵz aƣzimdin qiⱪⱪan, Mǝn ularni anglattim; Mǝn bularni tuyuⱪsiz wujudⱪa qiⱪirip, Ular ǝmǝlgǝ axuruldi;
1730040070	Qünki Mǝn sening jaⱨilliⱪingni, boynungning pǝylirining tɵmür, Yüzüngning daptǝk ikǝnlikini bildim;
17300500e0	Sening: «Mening butum muxularni ⱪildi», Yaki «Oyma mǝbudum, ⱪuyma mǝbudum bularni buyrudi» — demǝsliking üqün, Xunga Mǝn baldur muxularni sanga bayan ⱪildim; Ix yüz bǝrgüqǝ ularni sanga anglitip turdum.
17300600e2	Sǝn bularni angliƣansǝn; Əmdi ularning ⱨǝmmisini kɵrüp baⱪ! Buni rast dǝp etirap ⱪilmamsilǝr? Mǝn bayatin «yengi ixlar»ni, yǝni saⱪlinip yoxurunƣan ixlarni bayan ⱪildim, Sǝn bularni bilgǝn ǝmǝssǝn.
17300700b6	Sening: «Dǝrwǝⱪǝ, mening ulardin baldur hǝwirim bar idi» demǝsliking üqün, Ular burun ǝmǝs, ⱨazirla yaritilidu; Muxu kündin ilgiri sǝn ularni anglap baⱪmiƣansǝn.
1730080120	Bǝrⱨǝⱪ, sǝn ⱪulaⱪ salmiding, Bǝrⱨǝⱪ, sǝn hǝwǝrmu almiding, Bǝrⱨǝⱪ, sening ⱪuliⱪing heli burunla eqilmay etiklik ⱪaldi; Qünki Mǝn sening wapasizliⱪ ⱪiliweridiƣanliⱪingni, Baliyatⱪudiki qeƣingdin tartip «asiy» dǝp atilidiƣanliⱪingni bildim.
1730090075	Ɵz namim üqün ƣǝzipimni keqiktürimǝn, Xɵⱨritim üqün seni üzüp taxlimaymǝn dǝp ƣǝzipimni besiwaldim;
17300a007f	Ⱪara, Mǝn seni tawlidim, Biraⱪ kümüxni tawliƣandǝk tawlandurmidim; Mǝn azab-oⱪubǝtning humdanida seni talliwaldim;
17300b00b6	Ɵz sǝwǝbimdin, Ɵz sǝwǝbimdin Mǝn muxuni ⱪilimǝn; Mening namimƣa daƣ tǝgsǝ ⱪandaⱪ bolidu? Mǝn Ɵzümning xan-xɵⱨritimni baxⱪa birsigǝ ɵtküzüp bǝrmǝymǝn.
17300c0086	I Yaⱪup, I qaⱪirƣinim Israil! Manga ⱪulaⱪ salƣin; Mǝn «U»durmǝn; Mǝn Tunjidurmǝn, bǝrⱨǝⱪ ⱨǝm Ahirⱪidurmǝn;
17300d0087	Mening ⱪolum yǝr-zeminning ulini salƣan, Ong ⱪolum asmanlarni kǝrgǝn; Mǝn ularni qaⱪirsamla, ular jǝm bolup ornidin turidu.
17300e0114	Ⱨǝmminglar, jǝm bolup yiƣilinglar, anglap ⱪoyunglar; [Butlar] arisida ⱪaysisi muxundaⱪ ixlarni bayan ⱪilƣan? Pǝrwǝrdigar yahxi kɵrgǝn kixi bolsa uning kɵnglidiki ixlarni Babilda ada ⱪilidu, Uning bilǝk-ⱪoli kaldiylǝrning üstigǝ zǝrb bilǝn qüxidu;
17300f0091	Mǝn, Mǝn sɵz ⱪilƣanmǝn; Dǝrⱨǝⱪiⱪǝt, Mǝn uni qaⱪirdim; Mǝn uni aldiƣa qiⱪiriwaldim; Uning yoli muwǝppǝⱪiyǝtlik bolidu.
17301000ef	— Manga yeⱪin kelinglar, muxuni anglap ⱪoyunglar; Mǝn ǝzǝldin sɵzümni yoxurun ⱪilƣan ǝmǝs; [Sɵzüm] ǝmǝlgǝ axurulƣinidimu yǝnila xu yǝrdǝ bolƣanmǝn; Ⱨazir bolsa Rǝb Pǝrwǝrdigar wǝ Uning Roⱨi Meni ǝwǝtti!
17301100e4	Ⱨǝmjǝmǝt-nijatkaring Pǝrwǝrdigar, Israildiki Muⱪǝddǝs Bolƣuqi mundaⱪ dǝydu: — «Ɵzünggǝ payda bolsun dǝp sanga Ɵgǝtküqi, Sanga tegixlik bolƣan yolda seni yetǝkligüqi Mǝn Pǝrwǝrdigar Hudayingdurmǝn;
17301200a9	Sǝn Mening pǝrmanlirimƣa ⱪulaⱪ salƣan bolsang’idi! Undaⱪ bolƣanda bǝht-hatirjǝmliking dǝryadǝk, Ⱨǝⱪⱪaniyliⱪing dengiz dolⱪunliridǝk bolatti!
17301300de	Sening nǝsling bolsa uning ⱪumliridǝk, Iq-ⱪarningdin qiⱪⱪan pǝrzǝntliring ⱪum danqiliridǝk sansiz bolatti! Ularning ismi Mening aldimda ⱨǝrgiz ɵqürüwetilmǝydiƣan yaki yoⱪitiwetilmǝydiƣan bolatti!
1730140116	Babildin qiⱪinglar, kaldiylǝrdin ⱪeqip ketinglar! Nahxa awazlirini yangritip muxuni jakarlanglar, Bu hǝwǝrni anglitinglar, Jaⱨanning qǝt-yaⱪiliriƣiqǝ uni yǝtküzüp mundaⱪ dǝnglar: — «Pǝrwǝrdigar Ɵz ⱪuli Yaⱪupni ⱨǝmjǝmǝtlik ⱪilip ⱪutⱪuzdi!
17301500a1	Ular qɵl-bayawanlardin ɵtkǝndǝ ⱨeq ussap ⱪalmidi; U sularni taxtin aⱪⱪuzup bǝrdi; Bǝrⱨǝⱪ, U taxni yarƣuzdi, sular uningdin urƣup qiⱪti!».
1730160050	«Rǝzillǝr üqün» — dǝydu Pǝrwǝrdigar, «bǝht-hatirjǝmlik yoⱪtur».
17310100e2	«I arallar, mening gepimni anglanglar, Yiraⱪtiki ǝl-yurtlar, manga ⱪulaⱪ selinglar! Baliyatⱪudiki qeƣimdin tartip Pǝrwǝrdigar meni qaⱪirdi; Apamning ⱪorsiⱪidiki qeƣimdin tartip U mening ismimni tilƣa aldi;
17310200a3	U aƣzimni ɵtkür ⱪiliqtǝk ⱪildi; Ɵz ⱪolining sayisi astida meni yoxurup kǝldi, Meni siliⱪlanƣan bir oⱪ ⱪildi; U meni oⱪdeniƣa selip saⱪlidi,
173103007e	Wǝ manga: «Sǝn bolsang ɵzüngdǝ Mening güzǝllik-julaliⱪim ayan ⱪilinidiƣan Ɵz ⱪulum Israildursǝn» — dedi».
17310400db	Əmma mǝn: — «Mening ǝjrim bikarƣa kǝtti, Ⱨeqnemigǝ erixmǝy küq-maƣdurumni ⱪuruⱪ sǝrp ⱪildim; Xundaⱪtimu baⱨalinixim bolsa Pǝrwǝrdigardindur, Mening ǝjrimnimu Hudayimƣa tapxurdum» — dedim;
173105013c	Əmdi meni Ɵz ⱪuli boluxⱪa, Yaⱪupni towa ⱪilip uning yeniƣa ⱪayturuxⱪa meni baliyatⱪuda xǝkillǝndürgǝn Pǝrwǝrdigar mundaⱪ dǝydu: — (Israil ⱪayturulup yeniƣa toplanmiƣan bolsimu, Mǝn yǝnila Pǝrwǝrdigarning nǝziridǝ xan-xǝrǝpkǝ igǝ boldum, Xuningdǝk Hudayim mening küqümdur)
1731060158	— U mundaⱪ dǝydu: — «Sening Yaⱪup ⱪǝbililirini [gunaⱨtin ⱪutⱪuzup] turƣuzuxⱪa, Ⱨǝmdǝ Israildiki «saⱪlanƣan sadiⱪlar»ni bǝhtkǝ ⱪayturuxⱪa ⱪulum boluxung sǝn üqün zǝrriqilik bir ixtur; Mǝn tehi seni ǝllǝrgǝ nur boluxⱪa, Yǝr yüzining qǝt-yaⱪiliriƣiqǝ nijatim boluxung üqün seni atidim».
17310701c6	Əmdi Israilning ⱨǝmjǝmǝt-ⱪutⱪuzƣuqisi, uningdiki Muⱪǝddǝs Bolƣuqi Pǝrwǝrdigar mundaⱪ dǝydu: — Adǝmlǝr iq-iqidin nǝprǝtlinidiƣan kixigǝ, Yǝni kɵpqilik lǝnitiy dǝp ⱪariƣan, Əmǝldarlarƣa ⱪul ⱪilinƣan kixigǝ mundaⱪ dǝydu: — «Sɵzidǝ turƣuqi Pǝrwǝrdigar, Yǝni seni talliƣan Israildiki Muⱪǝddǝs Bolƣuqining sǝwǝbidin, Padixaⱨlar kɵzlirini eqip kɵrüp ornidin turidu, ǝmǝldarlarmu bax uridu;
17310801a4	Pǝrwǝrdigar mundaⱪ dǝydu: — «Xapaǝt kɵrsitilidiƣan bir pǝyttǝ duayingni ijabǝt ⱪilixni bekitkǝnmǝn, Nijat-ⱪutⱪuzulux yǝtküzülidiƣan bir künidǝ Mǝn sanga yardǝmdǝ boluxumni bekitkǝnmǝn; Mǝn seni ⱪoƣdaymǝn, Seni hǝlⱪimgǝ ǝⱨdǝ süpitidǝ berimǝn; Xundaⱪ ⱪilip sǝn zeminni ǝsligǝ kǝltürisǝn, [Hǝlⱪimni] harabǝ bolup kǝtkǝn mirasliriƣa warisliⱪ ⱪildurisǝn,
17310900d7	Sǝn mǝⱨbuslarƣa: «Buyaⱪⱪa kelinglar», Ⱪarangƣuluⱪta olturƣanlarƣa: «Nurƣa qiⱪinglar» — dǝysǝn; Ular yollar boyidimu otlap yüridu, Ⱨǝtta ⱨǝrbir taⱪir taƣlardin ozuⱪluⱪ tapidu;
17310a00bd	Ular aq ⱪalmaydu, ussap kǝtmǝydu; Tomuz issiⱪmu, ⱪuyax tǝptimu ularni urmaydu; Qünki ularƣa rǝⱨim Ⱪilƣuqi ularni yetǝklǝydu, U ularƣa bulaⱪlarni boylitip yol baxlaydu.
17310b005e	Xuningdǝk Mǝn barliⱪ taƣlirimni yol ⱪilimǝn, Mening yollirim bolsa egiz kɵtürülidu.
17310c008c	Mana, muxu kixilǝr yiraⱪtin keliwatidu, Mana, bular bolsa ximaldin wǝ ƣǝrbtin keliwatidu, Ⱨǝm muxular Sinim zeminidinmu keliwatidu.
17310d00d5	Huxalliⱪtin towlanglar, i asmanlar; I yǝr-zemin, xadlan; Nahxilarni yangritinglar, i taƣlar; Qünki Pǝrwǝrdigar Ɵz hǝlⱪigǝ tǝsǝlli bǝrdi, Ɵzining har bolƣan peⱪir-mɵminlirigǝ rǝⱨim ⱪilidu.
17310e0064	Biraⱪ Zion bolsa: — «Pǝrwǝrdigar mǝndin waz kǝqti, Rǝbbim meni untup kǝtti!» — dǝydu.
17310f00ab	Ana ɵzi emitiwatⱪan bowiⱪini untuyalamdu? Ɵz ⱪorsiⱪidin tuƣⱪan oƣliƣa rǝⱨim ⱪilmay turalamdu? Ⱨǝtta ular untuƣan bolsimu, Mǝn seni untuyalmaymǝn.
1731100066	Mana, Mǝn seni Ɵz alⱪanlirimƣa oyup pütkǝnmǝn; [Harabǝ] tamliring ⱨǝrdaim kɵz aldimdidur.
1731110082	Oƣul baliliring [ⱪaytixⱪa] aldiriwatidu; Əslidǝ seni wǝyran ⱪilƣanlar, harab ⱪilƣanlar seningdin yiraⱪ ketiwatidu;
1731120128	Bexingni egiz kɵtürüp ǝtrapingƣa ⱪarap baⱪ! Ularning ⱨǝmmisi jǝm bolup ⱪexingƣa ⱪaytip keliwatidu! Ɵz ⱨayatim bilǝn ⱪǝsǝm ⱪilimǝnki, — dǝydu Pǝrwǝrdigar, Sǝn ularni ɵzünggǝ zibu-zinnǝtlǝr ⱪilip kiyisǝn; Toyi bolidiƣan ⱪizdǝk sǝn ularni taⱪaysǝn;
17311300d9	Qünki harabǝ ⱨǝm qɵldǝrǝp kǝtkǝn jayliring, Wǝyran ⱪilinƣan zemining, Ⱨazir kelip, turmaⱪqi bolƣanlar tüpǝylidin sanga tarqiliⱪ ⱪilidu; Əslidǝ seni yutuwalƣanlar yiraⱪlap kǝtkǝn bolidu.
17311400a2	Seningdin juda ⱪilinƣan baliliring bolsa sanga: — «Muxu jay turuxumƣa bǝk tarqiliⱪ ⱪilidu; Manga turƣudǝk bir jayni boxitip bǝrsǝng!» — dǝydu;
173115012f	Sǝn kɵnglüngdǝ: — «Mǝn balilirimdin ayrilip ⱪalƣan, Ƣerib-musapir wǝ sürgün bolup, uyan-buyan ⱨǝydiwetilgǝn tursam, Kim muxularni manga tuƣup bǝrdi? Kim ularni beⱪip qong ⱪildi? Mana, mǝn ƣerib-yalƣuz ⱪaldurulƣanmǝn; Əmdi muxular zadi nǝdin kǝlgǝndur?» — dǝysǝn.
17311600fc	Rǝb Pǝrwǝrdigar mundaⱪ dǝydu: — «Mana, Mǝn ǝllǝrgǝ ⱪolumni kɵtürüp ixarǝt ⱪilimǝn, Əl-millǝtlǝrgǝ kɵrünidiƣan bir tuƣni tiklǝymǝn; Ular oƣulliringni ⱪuqiⱪida elip kelixidu; Ular ⱪizliringni ⱨapax ⱪilip kelidu.
1731170145	Padixaⱨlar bolsa, «Ataⱪ dadiliring,» Hanixlar bolsa inik’aniliring bolidu; Ular sanga bexini yǝrgǝ tǝgküzüp tǝzim ⱪilip, Putliring aldidiki qang-topinimu yalaydu; Xuning bilǝn sǝn Mening Pǝrwǝrdigar ikǝnlikimni bilip yetisǝn; Qünki Manga ümid baƣlap kütkǝnlǝr ⱨǝrgiz yǝrgǝ ⱪarap ⱪalmaydu.
1731180081	Oljini baturlardin eliwalƣili bolamdu? Ⱨǝⱪⱪaniyǝt jazasi sǝwǝbidin tutⱪun ⱪilinƣan bolsa ⱪutuldurƣili bolamdu?
173119010a	Qünki Pǝrwǝrdigar mundaⱪ dǝydu: — Ⱨǝtta baturlardin ǝsirlǝrnimu ⱪayturuwalƣili, Əxǝddiylǝrdin oljini ⱪutⱪuzuwalƣili bolidu; Wǝ sǝn bilǝn dǝwalaxⱪanlar bilǝn Mǝnmu dǝwaliximǝn, Xuning bilǝn baliliringni ⱪutⱪuzup azad ⱪilimǝn.
17311a012f	Seni ǝzgüqilǝrni ɵz gɵxi bilǝn ɵzini ozuⱪlandurimǝn; Ular yengi xarab iqkǝndǝk ɵz ⱪeni bilǝn mǝst bolup ketidu; Xundaⱪ ⱪilip barliⱪ ǝt igiliri Mǝn Pǝrwǝrdigarning sening Ⱪutⱪuzƣuqing ⱨǝm Ⱨǝmjǝmǝt-Nijatkaring, Yaⱪuptiki ⱪudrǝt Igisi ikǝnlikimni bilip yetidu.
173201013b	Pǝrwǝrdigar mundaⱪ dǝydu: — Mǝn ⱪoyuwǝtkǝn ananglarning talaⱪ heti ⱪeni? Manga ⱪǝrz bǝrgüqilǝrning ⱪaysisiƣa silǝrni setiwǝtkǝnmǝn? Mana, silǝr ɵz gunaⱨliringlar arⱪiliⱪ ɵz-ɵzünglarni setiwǝtkǝnsilǝr; Silǝrning asiyliⱪliringlar tüpǝylidin ananglar ⱪoyuwetilgǝnidi.
173202019e	Mǝn silǝrdinmu soraymǝn: Mǝn kǝlginimdǝ, nemixⱪa ⱨeq adǝm qiⱪmidi? Mǝn qaⱪirƣinimda, nemixⱪa ⱨeqkim «Mana mǝn» dǝp jawab bǝrmidi? Ⱨɵrlükkǝ qiⱪirixⱪa ⱪolum ⱪisⱪiliⱪ ⱪilamdu? Ⱪutⱪuzƣudǝk küqüm yoⱪmidu? Mana, Mǝn bir ǝyiblǝpla dengizni ⱪurutup, Dǝryalarni qɵlgǝ aylanduruwetimǝn; Su bolmiƣaqⱪa ularning beliⱪliri sesip ketidu, Ussuzluⱪtin ɵlidu;
1732030066	Asmanlarni ⱪariliⱪ bilǝn kiydürimǝn, Ularning kiyim-keqǝklirini [ⱪara] bɵzdin ⱪilimǝn».
17320400ff	«Rǝb Pǝrwǝrdigar mening japa qǝkkǝnlǝrning kɵnglini yasaxni bilixim üqün manga tǝlim-tǝrbiyǝ alƣuqilarning tilini tǝⱪdim ⱪildi; U meni ⱨǝr sǝⱨǝr oyƣitip turidu, Tǝrbiyilǝngǝnlǝrning ⱪatarida mening ⱪuliⱪimni oyƣitidu.
1732050067	Rǝb Pǝrwǝrdigar ⱪuliⱪimni aqti; Mǝn bolsam itaǝtsizlik ⱪilmidim, Yaki yolidin bax tartmidim.
1732060086	Dümbǝmni sawiƣuqilarƣa, Mǝngzlirimni tük yulƣuqilarƣa tutup bǝrdim; Horluⱪ ⱨǝm tükürüxlǝrdin yüzümni ⱪaqurmidim;
17320700db	Biraⱪ Rǝb Pǝrwǝrdigar yardimimdǝ bolidu; Xunga mǝn yǝrgǝ ⱪarap ⱪalmaymǝn; Xunga mǝn [niyitimni ⱪǝt’iy ⱪilip] yüzümni almastǝk qing ⱪildim; Hijilliⱪⱪa ⱪaldurulmaydiƣanliⱪimni bilimǝn.
17320800a0	Meni Aⱪliƣuqi yenimdidur; Kim manga ǝrz-xikayǝt ⱪilalisun? Bar bolsa birliktǝ dǝwalixayli; Kim mening üstümdin ǝyiblimǝkqi bolsa, Aldimƣa kǝlsun!
17320900b3	Manga yardǝmdǝ bolƣuqi Rǝb Pǝrwǝrdigardur; Əmdi meni ǝrz ⱪilalaydiƣan kimkǝn? Ularning ⱨǝmmisi bir tal kiyimdǝk ǝskirǝp ketidu; Pǝrwanilǝr ularni yutuwetidu».
17320a00f6	— «Aranglarda Pǝrwǝrdigardin ⱪorⱪidiƣan, Uning ⱪulining sɵzigǝ itaǝt ⱪilidiƣan kim bar? Ⱪarangƣuluⱪta mangidiƣan, yoruⱪluⱪi bolmiƣan kixi bolsa, Pǝrwǝrdigarning namiƣa ixinip hatirjǝmlǝnsun, Hudasiƣa yɵlǝnsun!
17320b0116	Mana, ɵzliri üqün ot yaⱪidiƣan, Ətrapinglarni mǝx’ǝllǝr bilǝn oraydiƣan ⱨǝmminglar! Ⱪeni, ɵz otunglarning nurida, Ɵzünglar yaⱪⱪan mǝx’ǝllǝr arisida menginglar; Biraⱪ silǝr xuni ⱪolumdin alisilǝrki: — «Azab-ⱨǝsrǝt iqidǝ yatisilǝr!».
17330100c5	«I ⱨǝⱪⱪaniyliⱪⱪa intilgüqilǝr, Pǝrwǝrdigarni izdigüqilǝr, Manga ⱪulaⱪ selinglar: — Silǝrni yonup qiⱪarƣan taxⱪa, Silǝrni kolap qiⱪarƣan orǝkkǝ nǝzǝr selinglar;
17330200ae	Atanglar Ibraⱨimƣa, silǝrni tuƣup bǝrgǝn Saraⱨⱪa nǝzǝr selinglar; Qünki Mǝn uni yalƣuz qeƣida qaⱪirdim, Uningƣa bǝht ata ⱪildim, Ⱨǝm uni awundurdum.
1733030143	Qünki Pǝrwǝrdigar Zionƣa tǝsǝlli bǝrmǝy ⱪoymaydu; Uning barliⱪ harabǝ yǝrlirigǝ qoⱪum tǝsǝlli beridu; U qoⱪum uning janggallirini Erǝm baƣqisidǝk, Uning qɵl-bayawanlirini Pǝrwǝrdigarning beƣidǝk ⱪilidu; Uningdin huxalliⱪ ⱨǝm xad-huramliⱪ, Rǝⱨmǝtlǝr ⱨǝm nahxa awazliri tepilidu.
17330400ca	Mening hǝlⱪim, gepimni anglanglar, Ɵz elim, manga ⱪulaⱪ selinglar; Qünki Mǝndin bir ⱪanun-tǝlim kelidu, Wǝ Mǝn ⱨɵküm-ⱨǝⱪiⱪitimni ǝl-yurtlar üqün bir nur ⱪilip tiklǝymǝn.
