25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
1	and to call: call out in/on/with ear: to ears my voice great: large to/for to say to present: come punishment [the] city and man: anyone article/utensil destruction his in/on/with hand his
2	and behold six human to come (in): come from way: direction gate [the] high which to turn north [to] and man: anyone article/utensil shattering his in/on/with hand his and man one in/on/with midst their to clothe linen and pot [the] secretary in/on/with loin his and to come (in): come and to stand: stand beside altar [the] bronze
3	and glory God Israel to ascend: rise from upon [the] cherub which to be upon him to(wards) threshold [the] house: home and to call: call to to(wards) [the] man [the] to clothe [the] linen which pot [the] secretary in/on/with loin his
4	and to say LORD (to(wards) him *Q(k)*) to pass in/on/with midst [the] city in/on/with midst Jerusalem and to mark mark upon forehead [the] human [the] to sigh and [the] to groan upon all [the] abomination [the] to make in/on/with midst her
5	and to/for these to say in/on/with ear: hearing my to pass in/on/with city after him and to smite (not *Q(K)*) to pity (eye your *Q(K)*) and not to spare
6	old youth and virgin and child and woman to kill to/for destruction and upon all man which upon him [the] mark not to approach: approach and from sanctuary my to profane/begin: begin and to profane/begin: begin in/on/with human [the] old: elder which to/for face: before [the] house: home
7	and to say to(wards) them to defile [obj] [the] house: home and to fill [obj] [the] court slain: killed to come out: come and to come out: come and to smite in/on/with city
8	and to be like/as to smite they and to remain I and to fall: fall [emph?] upon face my and to cry out and to say alas! Lord YHWH/God to ruin you(m. s.) [obj] all remnant Israel in/on/with to pour: pour you [obj] rage your upon Jerusalem
9	and to say to(wards) me iniquity: guilt house: household Israel and Judah great: large in/on/with much much and to fill [the] land: country/planet blood and [the] city to fill perversion for to say to leave: forsake LORD [obj] [the] land: country/planet and nothing LORD to see: see
10	and also I not to pity eye my and not to spare way: conduct their in/on/with head their to give: give
11	and behold [the] man clothing [the] linen which [the] pot in/on/with loin his to return: return word to/for to say to make: do (like/as all which *Q(K)*) to command me
10	22
1	and to see: see and behold to(wards) [the] expanse which upon head [the] cherub like/as stone sapphire like/as appearance likeness throne to see: see upon them
2	and to say to(wards) [the] man to clothe [the] linen and to say to come (in): come to(wards) between: among to/for wheel to(wards) underneath: under to/for cherub and to fill palm your coal fire from between: among to/for cherub and to scatter upon [the] city and to come (in): come to/for eye: before(the eyes) my
3	and [the] cherub to stand: stand from right: south to/for house: home in/on/with to come (in): come he [the] man and [the] cloud to fill [obj] [the] court [the] inner
4	and to exalt glory LORD from upon [the] cherub upon threshold [the] house: home and to fill [the] house: home [obj] [the] cloud and [the] court to fill [obj] brightness glory LORD
5	and voice: sound wing [the] cherub to hear: hear till [the] court [the] outer like/as voice God Almighty in/on/with to speak: speak he
6	and to be in/on/with to command he [obj] [the] man to clothe [the] linen to/for to say to take: take fire from between to/for wheel from between to/for cherub and to come (in): come and to stand: stand beside [the] wheel
7	and to send: reach [the] cherub [obj] hand his from between to/for cherub to(wards) [the] fire which between [the] cherub and to lift: raise and to give: put to(wards) palm to clothe [the] linen and to take: take and to come out: come
8	and to see: see to/for cherub pattern hand man underneath: under wing their
9	and to see: see and behold four wheel beside [the] cherub wheel one beside [the] cherub one and wheel one beside [the] cherub one and appearance [the] wheel like/as eye: appearance stone jasper
10	and appearance their likeness one to/for four their like/as as which to be [the] wheel in/on/with midst [the] wheel
11	in/on/with to go: went they to(wards) four fourth their to go: went not to turn: turn in/on/with to go: went they for [the] place which to turn [the] head after him to go: follow not to turn: turn in/on/with to go: went they
12	and all flesh their and back/rim/brow their and hand: power their and wing their and [the] wheel full eye around to/for four their wheel their
13	to/for wheel to/for them to call: call by [the] wheel in/on/with ear: hearing my
14	and four face to/for one face [the] one face [the] cherub and face [the] second face man and [the] third face lion and [the] fourth face eagle
15	and be exalted [the] cherub he/she/it [the] living thing which to see: see in/on/with river Chebar
16	and in/on/with to go: went [the] cherub to go: went [the] wheel beside them and in/on/with to lift: raise [the] cherub [obj] wing their to/for to exalt from upon [the] land: country/planet not to turn: turn [the] wheel also they(masc.) from beside them
17	in/on/with to stand: stand they to stand: stand and in/on/with to exalt they be exalted with them for spirit [the] living thing in/on/with them
18	and to come out: come glory LORD from upon threshold [the] house: home and to stand: stand upon [the] cherub
19	and to lift: raise [the] cherub [obj] wing their and be exalted from [the] land: country/planet to/for eye: before(the eyes) my in/on/with to come out: come they and [the] wheel to/for close them and to stand: stand entrance gate house: temple LORD [the] eastern and glory God Israel upon them from to/for above [to]
20	he/she/it [the] living thing which to see: see underneath: under God Israel in/on/with river Chebar and to know for cherub they(masc.)
21	four four face to/for one and four wing to/for one and likeness hand man underneath: under wing their
22	and likeness face their they(masc.) [the] face which to see: see upon river Chebar appearance their and [obj] them man: anyone to(wards) side: beyond face: before his to go: went
11	25
1	and to lift: raise [obj] me spirit and to come (in): bring [obj] me to(wards) gate house: temple LORD [the] eastern [the] to turn east [to] and behold in/on/with entrance [the] gate twenty and five man and to see: see in/on/with midst their [obj] Jaazaniah son: child Azzur and [obj] Pelatiah son: child Benaiah ruler [the] people
2	and to say to(wards) me son: child man these [the] human [the] to devise: devise evil: wickedness and [the] to advise counsel bad: evil in/on/with city [the] this
3	[the] to say not in/on/with near to build house: home he/she/it [the] pot and we [the] flesh
4	to/for so to prophesy upon them to prophesy son: child man
5	and to fall: fall upon me spirit LORD and to say to(wards) me to say thus to say LORD so to say house: household Israel and thought spirit your I to know her
6	to multiply slain: killed your in/on/with city [the] this and to fill outside her slain: killed
7	to/for so thus to say Lord YHWH/God slain: killed your which to set: put in/on/with midst her they(masc.) [the] flesh and he/she/it [the] pot and [obj] you to come out: send from midst her
